这种卡 您好请说 
您好请讲 诶喂你好我想问一下你们现在还有没有那种就是呃我满意订的流量然后换一个盒子里面 
改然后您看 好 
你好请说 诶喂你好我刚才又问一下那个呃姓区中山路附近哪有嗯那个你们营业厅你发了一个短信过来呃但是它那边写九月三十号他们这边关闭了呀 
您好请讲 喂我想问一下我诶我那个你们那儿找你们的宽带那个电信这个那个那个遥控器啊易晓搞坏的叫哪里去换去买啊 
短信您好下午好 哎你好我我想加一个那个掌上营业厅发个链接给我发 
您好很高兴为您服务 噢你好刚才有人给我打电话来他给我发了办了两个验证码是它这个手机号的它这个是什么幺零零幺零零八六六幺二是不是你们的 
嗯嗯呃您好请讲 喂小姐你好我想查一下厦门这个嗯我们移动营业厅的营业时间是几点 
您好请讲 哎你好 
您好请讲 哎你好你能帮我查询到厦门就国内居然他那个这边有一个营业厅在哪里吗 
您好很高兴为您服务 嗯你好我要投诉那个厦门移动请问可以打这个电话吗 
早上好 呃喂你好请问一下惠安县东阳镇的营业厅在那边啦 
嗯您好很高兴为您服务 我问一下那个那么移动宽带那个电话号码多少客服那个 
您好请说 啊我想问一下中午移动有上班吗 
您好请讲呃你能查一下福建 那个莆田这边步行街一个移动营业厅电话吗 
您好请讲 哎我问一下那个营业厅厦禾路跟那个向阳路这边那家就是跟公园东路交叉口再加是几点下班 
对噢我问问一下那个东海滨城有没有那个语音发信息怎么会能业务了不是 呃您说什么没听清 
呃您好请帮到您两年龙岩龙岩上呢加紧大概的电话吗发一个什么是哪里的龙岩上网交这个单子龙岩上杭证明大队是吗对请您稍等一下啊 
您好您请讲 诶你好我想问一下那个比如说在那个福建福州这边呃其他的违章啊懂打什么电话去查 
您好 呃您好帮我查询一下那个地方医院提醒中心的电话 
嗯哼您好很高兴为您服务 喂你好我问一下我想问一下不收的我在附近哪里有可以退出不要 
你好 喂你好我想问一下有没有维修太阳能的那个电话呀 
您好请讲 因为我这边有就是一有一个号码他说我那个号码我已经是什么时候用的然后他说已经超过三个月减的它要叫我去缴清欠费这是你们公司打来的嘛我想确认一下 
嗯嗯 您好请讲 
您好请讲 你好你帮我那个打过那个流量包有没有数据你们网站什么什么东西啊就是说可以查没开机随时随地可以查那个流量的吗 
您好很高兴为您服务 你好我想问一下那个顺丰那个快递的电话 
您好请讲 诶你好 
你好请说 诶喂您好诶我想问一下就是我就是现在在洛江这边吗浙江这边附近有没有那个租赁公司的电话 
嗯你好请说 呃我想问一下洛江区还是镇这边哪里有你们移动的营业厅 
再见您好您说请讲请说 你好我想我想咨询一下就是呃有没有那种漳州一中附近的那个房产中介 
啊您好很高兴为您服务 诶请请问就是超过这个腾讯的电话 
您好请说 那个你们的工作号是什么 
你好喂你好 嗯您说 
您好请讲 啊你好我想查询一下那个什么水务局的电话 
您好请讲 喂 
您好请讲 诶麻烦问一下那个天音台天台呃天津天津网的那个那个牌号码电话电话号码多少知道吗 
你好 诶喂你好我想问一下那个什么刚才有一个那个福州的电话打过来他发了一条信息是幺零六五八八八发过来的那个是骗人的吗 
为您服务你好丽娜就台江区就是煤是你的卡能换刚才没错没诶别就是才江区就近的营业厅在哪里啊就是福是短说半天喂我问你一下你好 恩您好 
很高兴为您服务 你好我想查一下浦城那个快递快递的电话 
您好请讲 喂你好我想问一下就是我之前呃每个月有五百兆流量然后我有多余的流量它是呃还在里面还是说直接回复消费零呐 
嗯嗯您好很高兴为您服务 帮我查一下五一中路附近这边这个中呃那个移动营业厅什么时候下班 
您好高兴您服务 诶你帮我绑嗯那个呃莆田市湄州岛上面那个移动的电话营业营业厅电话你帮我发一个过来 
您好请讲 呃您好我想请问一下噢在莆田这边办的个医保的地方的什么有没有那个地址还是 
您好请说啊那个我想查询一下啊申通的那个总台电话是多少全国热线是吧啊好您稍等好好嗯动呃全国热线是九五五四三拨打电话号码已经有下发给您提供参考三是吧是噢好的谢谢啊不客气那祝您天天好心情 
您好请问什么帮助您 你们晚上八九点的时候都没有那个人工在上班吗 
你好啊 呃呃麻烦你一下这个封顶那个移动营业厅那个位置可不可以那个发送一个给我 
嗯嗯四您好请讲 呃你那个这个封顶那个营业厅那个电话号码可不可以那个发送一个过来我这个你发那个的位置我找不到啊 
您好很高兴您服务您好 诶我问一下还有你们那个营业厅是几点下班啊 
你好请说 呃喂你好诶您好请讲嗯我之前那个积分兑换的那些礼品然后它那个去哪里查呀 
噢您好请说 哎我要出了这么呃您说是什么问题我要去投诉那个是怎么转后台呢 
您好请讲 你好我原来好像这个号码有预约装宽带我想问一下星期五上午可以去吗 
您好请讲 你好刚才给我就是说今天又投诉了很多次了吗 
呃您好请说 你好我想问一下那个和支付是你们这边负责的吗 
您好请讲诶你好我想 叫你帮我查一下那个掺和李木汽车销售销售电话有没有 
您好请您说 喂您好我想问一下那个宁德屏南现在营业厅在哪里 
您好请说 噢你好我想问一下就是噢我在这边的移动就是营业厅头如果我想投诉那个业务员哼是要打哪个电话 
您好请讲您好电话已接通很抱歉听不到您声音祝您先生您好 为您转移呃存的购物卷 
您好请说 怎么投诉 
对您好请说您好我想问一下我这个营业厅下班了没有噢你要到哪家营业厅我看一下 就是有移动的吗移动的 
您好请讲 那你本月的固定 
嗯嗯哎您好高兴服务您好 诶你好诶我想人家三六零啊那个客服电话是多少啊 
密码嗯您好请讲 喂您好诶我想咨询一下噢刚才有一个电话号码是幺五久吧五九二八六六八的这个电话幺二五久然后呢八五九二八六六八这个电话号码是你们移动公司的吗 
您好 喂请问一下那个posl的那个呃电视维修服务中心号码多少啊 
您好请讲你好我查一下厦门海沧啊龙海广场你们这个营业厅的电话 我们这边没有登记营业厅电话 
您好高兴为您服务 你好嗯我看一下沙县三明到分钟的动车票还有没有用这个嗯 
好的您好请讲 你好我想请问一下你们中国移动的营业厅在什么地方 
很高兴为您服务有什么可以帮您 你好就是请问一下就是知不知道那个校讯通他的客服电话 
您好请问您是要新装宽带吗 你还能查到之前的那个一g的那个刚刚 
您好高兴为您服务 喂您好你帮我查一下那个就是说是什么苏州是有一个平江区的对不对 
您好很高兴为您服务 唉你好我问一下我打客户经理电话号码还有多少 
很高兴服务 唉你好这边是中国移动是吧 
您好很高兴为您服务 唉你好就是我想查一下我们公司那个集团业务吗这边有没有客户经理呀 
您好很高兴服务 喂你好你好请问一下刚才有个就是他说是你们的业务也打电话说我这个呃手机的套餐到期了吧叫我发送什么到他也要到那里会不会有这样的诈骗 
不客气 您好很高兴为您服务 
您好很高兴服务 哎我问一下你那个期限路上那个营业厅现在还开着吧七星路是吗就是说我们这十九号请您稍等帮您查看一下啊四 
支付宝 您好很高兴服务 
您好很高兴您服务 喂你好我想问一下就是你这里能帮我查到就是呃我就想查呃前两天续约的然后昨天然后昨天正常应该是重新录这个宽带但是那个就是来安装的师傅给我打电话说那个现在没有设备吗然后那个安装师傅电话我也找不到了我想看一下你这个帮我联系到那个安装的这个手手机号能帮我查到吗 
请您好很高兴为您服务 我想问一下今天那个上海这边的营业厅今天移动公司上班吗 
好很高兴为您服务 嗯荷包专线的电话号码是多少 
您好很高兴为您服务 喂你好你帮我看一下中国移动营业厅今天呃就是靠近靠近这个人家苑附近的有什么营业厅吗有开门的吗 
您好很高兴服务 哎呃你好请帮我查询一下海灵市哪个营业厅可以用护照就是购买那个呃sim卡的 
您好兴为您服务您好啊姓 现在我想问一下那个安全是登一个移动公司什么地什么路上面 
您好很高兴为您服务 唉小姐你好我想办理一下过户手续呃我这边是那个上海市杨浦区黄兴路的你能帮我查一下附近的可以办理的那个网点吗 
为您服务 唉先生 
您好兴为您服务 唉你好那个我是北京的用户我的sim卡坏了哪哪个营业厅可以办那个异地的北京的这张卡换 
您好很高兴为您服务 唉你好你这是广西移动吗 
很高兴为您服务 那我现在在城乡路宝登陆我想问一下咨询自己到营业网点吗 
高兴为您服务您好 呃您好那个刚刚有一个幺三九开头的手机号码联系我说是移动宽带赠送我想核实一下是不是有这个 
您好很高兴为您服务呃我这边是这个上海的移动是吧我想问一下就是呃上海这边就是浦东新区这边有没有哪一家移动营业厅里面有大连的卡 浦东这边是吧这个民生路营业厅可以补外地卡的在银行发给您生六就是 
为您服务 喂你好嗯麻烦你帮我查一下那个十龙路 
您好很高兴为您服务 哎请问一下我想问一下我最近的营业厅我是住在高航时间的然后我想问一下那个高考有哪几个营业厅 
您好兴您服务 唉你好呃我是这样的我这个电话号码的我那个我办理了一个那个宽带业务 
您好很高兴为您服务 呃我刚刚打过来问过了但是他发给我那个搞错了我要我就那个问一下就是国和路靠近中原路的那家营业厅具体他给我政通路过河路的噢我现在在我河路中原路嗯 
您好很高兴为您服务 喂 
好很高兴服务 唉小姐你好刚才你们那个总他打过电话的是吧 
您好兴为您服务 呃您好就是我现在在外面然后那个手机欠费停机了我想收到那个因为我身边我现在连不了网然后身边有没有那个移动营业厅我想说怎么那个话费 
您好我是预处理专席代表很高兴为您服务 你好我想找一下二四五三号那个客服代表 
您好很高兴为您服务啊唉喂你好那个可以办法找一下那个就上海可以呃g补办卡的那个店吗就有个号码现在念一下 第一次摁上海是这样的上海目前一共有四家营业厅可以办理的话就是在营业厅的信息发给您了上面有电话地址营业时间然后您要去办的话需要机主本人带身份证还要知道密码才能办理的 
您好很高兴为您服务 噢你好就是你们上次搞活动那个装宽带的话呃我电话能申请吗 
很高兴为您服务 唉你好那个我那个手机遗失了然后想补办一张卡的话我想问一下哪里有营业厅的就我是在张江附近对张江附近 
您好很高兴为您服务 唉你好能帮我查一下就是啊那个营业网点就是在金海路信号附近的营业网点最近在哪里吗 
您好谢谢 喂你好 
您好很高兴为您服务 唉你好那个我想查一下就是宝山大华地区的那个营业厅它那个营业时间 
很高兴为您服务 呃麻烦你帮我查一下新中路虹梅南路附近有没有移动的我营业厅啊 
您好很高兴为您服务 哎你好我想问一下就是那个我那个就是从手机密码我试试试试上次发送什么短信到那个幺零零八六 
您好很高兴为您服务 所以我想问一下那个丰庄那个营业厅那个系统坏了搞好了没有了 
您好很高兴为您服务 你好麻烦帮我查一下这个欲路和金沙江路这边拿有移动营业厅 
