您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
喂你好 呃那个我想问一下我手机上是不是订了一个什么时候嗯哼 
诶你们那边是有一个那个八十八块的套餐然后有那个四点五g流量那个一千两百分钟通话 你帮我把这个套餐改掉吧我就那个等于三八套餐呀 
现在我们家的我流量老百兆联系不到了扣费 五天 
你好嗯嗯 你好我这边提醒说什么vip什么是还都都这个是什么什么套餐 
我其我这个省内流量不够用你能不能帮我推荐一款那个比较资费的流量流量包啊 六g就是那六十块钱六g半年之内使用 
喂你好喂你好我想查询那个十元的流量包可以吗呃开什么流量包十元十元的流量包是什么的你说我想问一下你这个流量包开了之后在香港那边可以用吗 对对去几天那就就是香港澳门的那个不知道 
喂你好 诶问一下现在办宽带有是吧是什么套餐呢 
嗯嗯嗯嗯好您好高兴您服务喂你好平均我想了解一下那个有什么比较优惠的流量套餐 噢呃除了这个就是这个月有效下个月取消的那种 
啊我的这个还怎么这个现在上面哎你好请问什么是三十八元的套餐 因为我不是十八元的吗二十九元的套餐嘛 
你好请问一下我办理的八十八的套餐那个是分钟数多少 啊一千二分钟国内三百噢 
呃您好我想问一下刚才有个人打电话说那个改那个五十八元的套餐这个套餐那个内容是什么我都没更新 那多少g流量啊 
哎你好我想问一下去香港漫游的话有什么日套餐吗 是一个两三天吧 
就是那个我我我这张卡是不是有三百分钟那个话费 诶三百分钟那那我就一年噢你们还有两百多分钟我话费怎么会被扣走 
诶你好帮我查一下我这个套餐里面是有多少那个省外的但是通话还有那个流量 一百分钟还有多少 
哎你好问一下就是开通两城一家的话它是呃哪里不一样啊 噢就不用开通就是反正我到外省的话也是一样的是吗 
嗯我昨天收到短信这个这个移动我这个移动数据好像每个月是六百兆我这套餐那我前面有看到短信反正我都到一g多了那我这个这个到底是我这个这个套餐的话这个移动数据的免费流量是多少一个月 那我前两个月不是都有不是上个月不是都通知我一g多了那这个现在 
呃您好我想问一下现在有什么就是比较直划算的那种流量包啊 这个月 
喂 啊我想问一下嗯那个在省外用流量有什么可以可以上面 
诶你好 呃我问一下这张卡的套餐是不是无限流量的在四倍 
诶你好帮我看一下那个语音通话跟国内主叫通话有什么区别吗 那为什么我八十八的套餐新飞享生有两个呀 
嗯哼 哎你好诶我我想问一下我这个套餐有没有你们这个移动有没有办什么无限流量的这个套餐 
诶喂您好我想问一下我不是办那个一百三十八的那个套餐就是无线的那个流量吗 他干嘛老师都说我怎么今天又用了多少油可能要收费怎么怎么这什么意思啊 
呃呢好像有什么流量有有没有比较优惠的 有开过是吧 
诶你好你帮我查下这个手机号码是用这个套餐的 哎三十八是多少流量 
呃我这个号里面的套餐有流量吗 噢下个月开始啊 
哎你好我想请问一下我们移动是不是有一款那个八八套餐一个月五个g的那个流量 有是吧 
那我想问一下我这个呃飞享五十八元套餐它的国内流量是多少 超出的话呢 
呃您好我就是想那个流量的套餐 因为我这个月那个流量用完了然后超过不是很贵吗 
喂你好呃我问一下我现在开那个流量包要开哪一种比较划算来 如果开开一个一个g要多少钱 
诶你好我想再加点流量然后哎什么样的比较合适 呃就我流量用完了吗 
诶你好我想问一下噢就是办了香港的话流量是有几天的套餐 嗯嗯两三天吧 
有没有就因为我现在流量没了嘛有没有就用一个月的流量 一百兆一百兆那不能没多少 
嗯嗯 你好这个这个套餐现在就就是八十八块 
嗯 一号呃我这个手机每个月流量好像比较多我就想最近用就是呃有没有比较划算的那个流量包的呃套餐有没有 
来电呢 嗯请讲现在有什么套餐什么加油包是比较优惠的吗 
哎你好 想问一下我这个手机的话可以办还有什么比较办什么那个套餐比较划算一点 
喂你好你好我这个手机一个锦兴集团了一个什么集团业务的这个是什么是什么东西啊我看一下啊 噢那个你要不帮我取消吧我都不在那边呢 
请问一下你们有噢流量多话费少的那种套餐啊 啊 
您好请说 那种到澳门的那个那个不限流量的 
哎你好呃我想就是下个月想改一下那个套餐你帮我看看有什么套餐 八十八块五g吗 
你好嗯有有没有两块钱一天的流量包啊 我们有个诶 
诶您好我想问一下那个现在有一个套餐是三十八元然后送三百分钟话费和一g的流量有这个套餐吗 那我我想办一个要怎么办 
喂您好我想问一下现在有什么流量的套餐有优惠的吗 是这样 
你好问一下我这里面包月什么北京万南科技是什么啊 哦你帮我取消掉噢 
嗯嗯喂你好 呃请问一下怎么星级客户是什么意思啊 
哎你好现在有什么流量的那个套餐呀 噢 
我问一下那个套餐我本来是五十八那个套餐帮问一下幺三八套餐它它这个具体情况他里面说说是本地流量免费就是说在我这是福州的卡浦区八县内他只有流量都是免费的吗是这个意思 噢它就流量免费然后通话是一天两百分钟它有分业务分的是吗 
我想问一下我这个幺三七九九二五这个手机号噢 我因为我现在能有人又回到厦门嘛噢我回到我回到厦门了以后那那这个手机号那个网络用办什么套餐网络会比较便宜 
喂你好那个我想问一下现在因为我这个手机卡是泉州卡嘛然后我因为我现在在福州想问一下有没有那个什么样的那个套餐就合适一点的流量套餐 对啊对对 
再见啊 诶我想问一下有没有什么便宜的流量包呢 
呃那个我想问一下这张手机卡有没有无限流量 噢这样子的话就是嗯那那我看那个就是一个软件那个中国营业厅移动营业厅里面有说我好像超出了三十三兆是怎么回事 
我问你一下我那个套餐里面那个呃通话一百分钟的是是什么意思 噢你在莆田市区是吧 
诶喂你好诶我想问一下噢就是我收到短信什么事呃什么是叫什么不可共享的流量用完了什么意思啊 什么时候嗯那您能不能帮我解释一下什么是共享是不是不可共享 
啊移动现在是不是有那个什么无限量那个流量的套餐 噢我现在是两千四百分钟的 
哎你帮我查一下我这个五十八元套餐那个语音通话时长是四百分钟呢还是一百分钟啊四百那为什么我短信收到身份证语音通话一百分钟已经使用完 噢那这样的话它那个部分用完了噢就是一百的用完了那剩下的 
那个我这个手机号码有没有流量 就一百兆吗 
嗯请问我们我刚才看到你们里面那个流量套餐里面有个一百三十发短信无限流量是吧 他是说在莆田之内上网都邮件流量啊 
我想我想问一下那个省内闲时流量是什么意思吗 营业厅 
我问一下那个那个流量流量不够要不我流量怎么办 呃我是那个八十八块 
你好帮我看一下我本机九十九的那个呃家庭套餐的那个包含一些什么内容的 两个g的流量是呃套餐在他一直在还是套餐在他一直在它这个是不是还有额外再赠送一年的什么东西一号 
费用 哎你好我想问一下如果改套餐的话有哪个套餐就是它的它那个电信的流量会比较多一点 
诶我我想问一下我我那个里面有个什么彩铃的是什么 帮我删掉 
哎 呃请喂 
你好诶我这个有没有那种是流量多一点的我这个关这意思一三包什么流量这一g有没有就是流量这一块多一点的 二十二十个g二二十元的七十一月一号可以生效 
你好帮我查一下那个呃国内流量最最低优惠的是多少 三十元一个g是吧 
喂你好诶有什么像什么宽带的业务啊宽带的套餐那个流量的套餐 吗不 
啊你好 我这张卡是无限使用流量的对吧 
诶你好因为我刚才在那个移动营业厅里面看到不是你们有十五块钱一g的那个月租的流量吗为什么我订不了呀 一号返 
喂我想问一下那个都手机套餐最最低的有多少钱呐 八块它内容交完 
诶诶我想嗯之类的我想换那个别的套餐有没有什么就是流量比较多的 行那之前的那个呃四十九块钱四g的那个活动还有吗 
诶你好 诶那个流量十块钱多少兆 
服务 喂你好那个喂是有一个就是家庭网的那个那个套餐是吗 
诶你好你好现在有没有什么套餐就是说省内拨打的那个什么套餐呐 啊对对对 
不要 你好你好知道咨询一下应该是流量钱全国通用的有什么比较优惠的拜拜 
哎你好我想问一下这个装宽带是在我现在是在那个三号网那边 啊然后我这边宽带的话他说办办一个手机套餐是不送宽带是吧 
你好那个问一下那个最低套餐是是多少了 现在最低的是吧 
嗯呃帮我查询一下我本 八元的套餐这个 
诶你好那个请问我呃就是那个腾讯视频通的那个任我看了那个视频流量噢它是可以那个存在手机里面下载下来这手机里面看吗 对 
你好 呃喂你好 
问一下我本机的那个套餐在外省的话可以用多少g的 那我现在要多少这样 
喂你好就是我想问下一条那最低的套餐是八块钱是吧 那我现在可以帮我调帮我如果我现在拿下个月生效吗 
你好诶我想问一下你们现在下个月还有没有那款八十八元的那个 嗯嗯就是说多少兆的好像是 
喂你好嗯我这张卡那个每个月有多少流量 六百兆 

嗯 帮我查一下我这个号码噢是一天五百兆的是不是 
喂 就是因为我们动力加套餐是什么意思呢 
但喂你好请问一下移动的最低月租是多少 麻烦那你能不能把我下个月产生八块 
哎你好我现在我现在我想问一下我现在的套餐不是是四十八块钱的套餐嘛然后里面只有五百兆的流量吗 那我那现在有什么套餐的流量比较多 
呃您好我想问一下我想去那个怕老旅行然后那个那边我要开通什么吗 嗯对对对对然后就再 
哎你好我想查一下你们这边全球通一百二十八套餐没有呃流量有超多一些的 啊账户本地用但前面这边我另外一个手机卡嗯我知道怎么那个套餐的也是全球通的但是不好那个不那个那个喂流量扣款了才一百多 
呃您好我请问一下我这个手机里面我本来只有一百兆的流量跟一百分钟的电话费然后发现你们经常发信息过来我有省内嗯嗯 那个流量是什么意思 
哎你好就是我想咨询一下就是我现在用的这个套餐里面有一个那个服务区流量那个写的是什么流量 本地校园流量啊就是我们如果不在校园到我用的话费流量我就不能用是吗 
再见您好很高兴为您服务喂哎你好我想问一下我现在的套餐那是什么情况啊 噢就十八块钱是吧那我现在每个月我现在花了多少钱呐 
好 喂你好 
哎我想问一下我这个套餐是里面的话分钟是多少 一千两百分钟有个是五十九 
哎你好 我那个改那个五十八块的套餐五十八块的套餐是就是流量是多少啊 
嗯 喂你好 
诶我想问你一下嘞嗯我原来流量还够用有这个月流量不够用然后有没有我是想说有没有那种什么什么流量比较是会的那样子呢 申请 
喂 高兴 
哼您好请讲哎你好我想说我这流量用完现在怎么处理 歪点那个那个流量流量包再给我开一个十块钱的吧 
你好请问现在是不是有什么新的呃套餐叫什么嗯嗯 三十八五星叫什么新什么套餐新飞享吗八十八吗新飞享三十八三十八嗯幺诶能不能发给我看一下 
呃我想咨询一下我就是有没有那种两百要元上网的卡 下午元在学小孩子都没有了他就是说上网流量会比较多 
您好请讲哎你好我那个那个套餐里面有那个五块的什么动漫什么包月那个给我看一下那是什么好帮您看一下噢稍等有个手机动漫这个帮您关掉吧噢这个要关掉对恩好帮您关好了噢噢好好 噢不用了 
呃喂您好我想请问一下为什么这个月没有省内流量啊本来流量不是套餐里面的吗 啊好 
嗯哼 哎你好我现在在外地我那个流量不够用有什么套餐吗 
呃喂你好那个我想问一下我现在就是套餐内就是三十八那套餐内包含什么有什么东西啊 噢就只有这些吗 
存话费嗯嗯再刚才不是跟跟移动有个打电话过来了嘛哈他说有一个怎么八十八元的套餐他说呃有那个通话通话那个时间有一千一千了一千二百分钟吗那个流量有五千几 对啊嗯嗯就这样吗 
最近有没有那个断网的流量比较优惠的 嗯 
喂您好这咱们这有没有套餐流量多的呀 五十块钱两个g什么意思啊 
哎你好我想问一下那个移动这边是不是有那个一个月只要八块钱的那个套餐呢 噢那我现在这手机是十八块钱套餐你能帮我改成这个八块钱的套餐呐 
诶你好那个我想咨询一下噢你们那个神州行嗯十八元的那个家园卡是在全国各地内打全国各地的电话都是两百分钟是吧 比如说我在 
喂你好我想问一下我这个不是每个月的套餐是不是只有九块钱然后打出有没有一百分钟打噢 没有没有没有那种一百分钟那种多数是吗 
诶我想问你一下就是刚才我说呃我有接到一个电话他是说叫我那个改那个套餐他说是飞享三十八元的那种套餐二零一七版他说那里有一点五g的流量还有三三百分钟的话嗯那个通话那个是不是真的嘞 服务他就是他就是嗯叫我发验证码嘛后面我又没发过去 
喂你好哎原先有个什么叫流量加油包的现在怎么不没有了吗 呃五块钱多少啊 
哎呦我可以问一下我这个手机号的那个套餐有那个无线流量吗 恩 
哦嗯我的流量用完了我回我想加一点是有套餐的嘞 那一个g也就不完了 
喂您好我我这个号码的这个月送的分钟数用完了现在怎么办啊 噢然后只能消费正常的每分钟一毛九是吧对现在这边的收费噢噢一月有有没有其他的呃补充包呢 
诶你好我想查一下我这个套餐有流量吗 那我这个套餐是 
喂 嗯请问一下就是那个呃我用手机充值的那个流量就是我充值的省内流量但是我我现在现在是他用我的号码是福建的呃我给您看一下噢这个这个问题啊就它那个省内流量是应该是福建号码是直接用 
诶问一下现在是不是流量套餐有没有不一样的 那我这个包能不能改一下可以可以我帮您改下个月生效 
哎你好你好我想问一下你们是不是有一款三十八块的套餐呢 是三百分钟然后一千五百兆的流量是吧 
哎你好我问一下现在有什么什么什么卡比较优惠的 就是打电话就可以了我不要流量呢 
哎你好我想问一下我现在这个这个里面这个里面的话那个有一个四g四g的一个流量包我这个流量包的话应该是国内的流量包还有省内的流量包您稍等一下帮您查询一下诶好的麻烦您 就说我的在全国各地方都可以用是不是 
要新买个号码卡 那上网的时候要买号码卡噢 
诶你好我是那种流量不够用要怎么办呢 噢那那我这个月不够用要先买什么比较合算 
诶你好诶我是想问一下是不是你们这边可以问那个什么交通违法的 我我的我是我的是龙岩的车就是车牌是龙岩的然后是在厦门违章呢 
嗯嗯你好我问一下那个呃现在有没有什么那那种的流量流量套餐 吧十块钱的 
诶你好诶现在有什么流量 呃不要早一点 
手机流量用当地套餐呃呃二g的流量是吗就先用四g的是不是还是说都是数据了 电视高多块呢 
查了一下我想把套餐得等下是次月生效 是下个月是吧 
啊您好我想请问一下就是这个这个手机号现在有三百分钟的那个语音语音的那个是怎么回事噢就是现那那不是说拨打电话就可以免费使用的吗为什么每次打电话都用不到那个呢 噢这样子 
再见 哎你好我问一下就是我这个套餐噢它那个他说三百分钟它本地的那你帮我查一下 
哎你好我现在想问一下就是移动就是家庭宽带有什么套餐 呃对我想咨询一下 
我想问一下我那个九元的爱奇艺那个套餐还是多少流量 好的不知道 
喂你好 噢现在流量有什么安划算的套餐吗哇 
你好我想问什么可以帮到您的呃我想问一下我这张卡他有送的那个视频三g流量是爱奇艺的吗 垃圾软件没错吧 
呃我想问一下有没十块钱的流量套餐 一百兆吗 
你好你好那个澳门那个什么套餐啊 嗯嗯好好好那没事谢谢 
