你好 我想咨询一下我这个本机说什么已经停机了它是不能打出去还是什么原因 
早上好呃喂你好我我我这个手机为什么就是说我这张卡会显示是二g的 诶 
诶你好请等一下帮我查一个我查一个号码什么多少 等一下一个春幺嗯嗯问他这个关联我通过了啊幺五零幺五零等一下等一下帮我查一下是怎么怎么是空号我已经充值下是怎么还是空号 
喂你好 啊我还想问一下那个我一个号码干嘛一个空号了 
呃帮我看一下一个号码那里面嗯嗯呃那个卡是收回去了还是 呃幺三八 
哎你好嗯我刚刚查到我本机还没有进行实名登记是吗 嗯那我那我要去哪里办理 
诶你好我想问一下我就那个不是有有实名登记吗它怎么说我没实名连接 噢那我就我要用服务密码都搞不了 
哎你好我现在这个号码是停机保号是吗 那如果说我这个月还想开通的话那那是要怎么开通啊 
呃我想问一下噢我手机如果没有接通电话的时候都是显示四g吗那如果打电话的时候就显示中国移动二g嘛就是因为考试二g网络吗 它只有一个返还 
喂你好中国移动是吗 呃我想请问一下我有个手机号就是半年前的然后就说我没有用了现在怎么才呃你看一下它状态现在是什么样子 
呃喂你好你可以帮我查一下就是说我之前有一张流量王的卡它是已经帮我给取消掉了吗可以帮我查一下吗刚 哦你多少我自己的前面是幺八七开头的很 
你好帮我查一下我这个号码有没有实名字 噢那我要注销这个号码的话是嗯用身份证就可以了对吧不用我本人去不用不了是吧销户一般本人过去啊 
哎你好我这边有个号码是幺五七幺六三个零九七九是什么什么情况电话号码是空号 幺六三个零九七九 
额额额外返一个能打应该嗯我想问一下我这个嗯手机号码吗实名制成功了没有 咨询一下是吗嗯我之前有收到一个短信还是说让我拿身份证还要重新登记啊是怎么回事 
还有一个另外一个诶另外一个号码嘛噢嗯然后我想说那个不知道是不是被停机了我要改一下套餐 ok嗯嗯幺五幺六零零三五幺二五 
你好请讲我想我想问一下我这手机号码的你记一下因为我我不记得好像怕我手机号码不是实名之之前不是用自己的名字登记的忘记掉了所以你帮我看一下我帮您验证一下您的身份证号码因为按下井号键结束好吧身份证号码下能记得住吗嗯身份证号码好好请您稍等一下我帮您看一下能不能选择稍等恩好好好 噢那这个要去做实名制登记了怎么办呢 
诶你好恩你好我的手手机还是欠费啊 你帮我看一下吗 
诶 你帮我查一下那个我的另外一个号码那个幺八七 
你好请问一下我那个帮我另外一部电话帮我查一下现在卡被别人用了没有 幺八二 
哎你好请问一下我这个是不是有人用身份证登记过 对 
请问一下我这个手机不是手机卡以前那是我前段时间报停了吗 现在我可不可以是你们的人工台可不可以帮我把那个手机号码开起来 
请问一下我这个手机停我以前办了停机吗现在可不给他开起来了 我好像好像就是把那个密码忘记了 
诶喂你好麻烦你帮我查一下就是我去年又停机保号一个号码帮我查一下这个号码谢谢还能还能不能用 呃幺五八九二幺 
喂你好 诶诶这张卡没有没有实名认证吗 
喂你好你请问能帮我看一下我这个手机号码是不是实名登记的吗 刚才这个手机短信被封了所以没办法发短信也没办法收短信 
哎你好我想请问一下现在的这个电话号码卡不是不是人名字登记的吗是不是对的所以是说我是要取消的话诶你那你可不可以帮我取消掉 那拿身份证也要本人是吧 
嗯我帮我查一下我我那个名下还有一个电话号码是幺五二零五零五幺幺八五的那那五g是现在是什么状态 幺五二 
诶你帮我查一下我的上网功能是不是正常的 诶那帮我把上网功能打开噢 
诶你好呃我想请问一下就是我在福建一个号码噢就是我两两三个月没用了吧然后可能欠费了但是我现在想查欠费多少已经查不到然后我想知道一下这个号码现在处于这个状态是什么状态呢 是幺五二五九三幺 
你好麻烦你帮我查询一下我一个号码它有没有激活成功 密码 
呢话费短信才能用 你你的意思是什么我怎么号码我的那个号码改成才可以用是不是 
我手机是不是停机欠费了欠费了 啊你你帮我看一下为什么每天都发信息给我 
喂 那个我这个号码手机应该没有停机吧 
喂你好 啊我想查一下就说我我的名字里面那个上面还有一张另外的卡嘛然后我昨天有接到电话就说已经怎么欠费然后说那个什么号码已经不能用了吗 
不用办理是不是实名登记的还是身份确认打我现在人在外地我那个我那个手机掉了我也把卡补回来 四五零幺 
