诶你好你帮我查一下我本机号码 幺五零五九幺六四九幺六 好谢谢啊不客气祝您愉快再见 
嗯您好请说 诶我这个电话号码是幺七八的吗不是幺三八的 
噢行喂你好呃请问本机号码帮我确认一下噢七五零五九六七二六幺零对吗 这样那本机号码哎就是我只要保留接打电话的功能其他的都给我关了吧 其他只有扣幺八八七大概没有什么对 
呃帮我查一下手机服务密码多少 本机 可以你你短信发过来我点击要啊 
移动过来喂 我想问一下我这个什么我这个电话号码已经营商密码是多少啊 发什么短信 
您好有什帮助您 哦哦幺五二二零六零二五零零幺二 
诶请问一下那手机那个一一什么有没有什么这样子然后换成多少您说运营商服务密码吗啊那就这张卡的业务密码我看一下您这张卡的业务密码 不对吧我 旺啊 
喂你好麻烦你帮我查一下我的三个通话记录我刚才不小心被我按删除掉了能查得到吗 幺零零八六有没有别的 噢好 
你好我想查询那个手机的那个什么密码 对对怎么查好像发短信就可以了吗 这样子好谢谢 
喂你好 嗯嗯嗯 二十五下我这个手机号码呃服务密码是多少 
你好你好噢我是那个嗯讲面那个宽带是前两个月装了然后我忘记了那个账号跟密码怎么办嗯好没关系是本机号码办理的吗呃对 好的谢谢 喂密码然后你发给我自己再改一下是吗 
哎喂你好那那个我这里你帮我查下是不是呃我用的这个家庭短号五五四的号码是不是幺三九六零六四三三八 不是取消了吗 噢好的好的那就说我是这个号码是空的是吧 
你好帮我查一下这个本机的号码 嗯 噢尾数就好了二七零九是吧 
诶你好我哎嗯请问我这手机的那个密码是多少 啊好的 对 
帮我看一下我宽带的帐号是不是我手机号码 我目前就一个账号是吧 好好 
你好对我想我想问一下那个呃电话服务密码这种什么意思啊 知道但是我想查询一些东西他需要我输入密码结果我密码是对服务密码重置了吗 重置了以后我把密码输进去他告诉我密码不对呀 
喂你好 那那个我那个服务密码是多少我要重置的服务密码 在处理啊 
你好帮我查一下我的服务密码好吗 我们我不在我不知情我想请问 不是可以回复短信就是就能改变改我的那个服务密码吗 
包括喂你好这个骚扰电话是可以查一下是哪里的吗 噢幺三零 噢它这种是那个一直宣传总共的电话 
哎你好我这个卡的时候我那个什么服务密码吗 就是手机什么运营商那个服务密码 身份证号码我知道 
说了帮我查询一下我手机服务密码是多少 但是我手机来说我现在是单停我已经停机了 正常吗 
哎你你帮我看一下我另外一个号码 幺三九 无九三三 
能不能帮我看一下我这个号码的开户时间是什么时候 二零一五年 这梦网没有啊好像是二零一四吧 
呃帮我看一下本机号码是多少 五七二是吗 嗯嗯好我知道了 
没 您好他帮我确认一下这个你好帮我解决了我的我这部手机我这部手机我想输入身份证验证一下是不是这个名字开的 我用身份证输入可以吗 
嗯请问一下就是我我我问一下那个噢我这张卡是用身份证买的吗就说我也我不太想用的时候如果说我不知道一那个营业厅去那包那个钱的话会怎么样 啊 嗯噢就是说从什么时候开始 
啊你好我想要问一下我这个的密码是多少的 呃福建省吗 噢可以好那我发给您了嗯 
诶你帮我看下我的上面还有实名的有几张卡一张那个 呃 营业厅打通 
那个 问一下我那个号码这张卡有没有绑定的不是有有没有那个实名认证的能不能拿到 我现在原来没做过啊你就 
不客气您好请说现在我我那个这个这张卡的手机号码尾数是多少本机吗七九幺零然后它现在有还有流量吗噢我看一下嗯嗯 有三百兆省内流量 
诶你好诶我这个就是就是这个移动的固定固定电话那个密码服务密码是多少 我不懂设置反正移动的吗 有线的就他的那个网线上面那个用的那个电话 
嗯 哎你好我现在收到一个短信就是让我改什么初始密码 噢 
你好麻烦你我这个是按那个尾数二幺六三的卡吧 那个麻烦你把我那个来电提醒解除啊 呃就是把把那个我就就没有信号的时候还是有来电提醒的 
嗯您好很高兴为您好哎我我想问一下我这个手机号的密码多啊 怎么怎么设置啊 g的呀 
喂就请问一下我这是保这个号码的服务密码是什么啊 喂 
喂 好的诶你好 哎我想核实一下我的手机号码是我本人的吗 
您好请说 西湖国际学校是吗 它学校名称就叫师傅国际学校吗 
啊喂你好诶我想问一下这个第一个我这个是不是全球通然后我再外地一些第一笔接打这个本地接听这个都是免费的然后打印漫漫游费的问题 噢吧有没有漫游费噢 啊好然后呢还有一个的话我帮我开通一下我现在是香港帮我开通那个境外的那个就是呃拨打的那个回电 
诶你好你帮我查一下我本机的那个服务密码是多少 对 对啊 
那个能不能查一下我这个是这个月卡的手机号我和充话费我的手机号呀 幺三六 噢行九五 
诶你好麻烦你帮我看下我这个 好这是全球通的套餐 噢然后那那个什么 
本机的密码忘记了怎么办 
的等下好 诶你好帮我我想问一下我这张流量卡是本地的还是说三明的 诶三明本地那我在用完也可以用是吗 
哎你好我问一下我这卡的户名是不是城一家啊 我就是卡之前好像是用我朋友人身份证绑定我就是担心一个吗怕他如果帮我注销掉它要不要用密码 就是说身份证原件 
幺嗯 哎帮我查一下我这个本地那个宽带密码是多少 噢可以可以 
好好 喂你好啊您说我我想问一下就是移动这个号码的那个有初始密码是多少 噢不是不是的 
诶你帮我查一下一个我有个手机是不是这个号码幺五八幺五六零六零八六 三四五三 为什么停机掉 
呃您好我这个就是这个块这个这本手机的这个宽带啊那个那个密码是多少我都忘记掉那个怎么办 啊 身份证知道啊 
喂你好我问一下噢那个能不能查到我本机的入网时间 呃二零零九年一月三号是吧 
喂你好我想问一下我这个手机号码要找服务密码的话要怎么找 嗯你这边 身份证号码多少五五二二三你直接告诉你还是怎么样不用 
呃帮我查一下手机服务密码多少 本机 可以你你短信发过来我点击要啊 
喂你好可以我想问一下如果是我的名字是这样子查询能知道我我的名字登记几个号码吗 身份证办理才能查 那这个幺三六他刚才有个人打电话来他说我的名下有一部是幺三六的他说七二零七那个号码我都没用过它说是我的 
你好我那个密码忘记了怎么弄 嗯是的 身份证号码不记得了 
喂哎你好嗯在为什么请说噢嗯就是问一下我的这个手机的服务密码 啊忘记了 刚才重复噢那我重置一下 
啊我想问一下我这个密码是多少 噢好的 嗯没有了 
呃我这个名下是不是还有两个号码没有注销掉 噢我这手机他现在没有很多业务的这一条吧 就是三十八块钱的时候嗯对诶那不是有一些就是有一个流量是那个什么就是整个从腾讯的那个游戏或者电视好像就是免邮的不是啊免邮打关就是关于腾讯的软件 
有原来我原本是好像是没有是吧 幺二五九零幺七是吧 噢好好 
诶你好先生你帮我查一下本机号然后为什么话费那么贵呀 打电话干嘛 打电话扣了三块四毛二 
诶您好请问你知道本手机的那个密码吗我给忘记了 好 好 
你好我想问一下我这个手机号码的服务密码是多少 这个啊 噢 
诶您好呃请说嗯嗯就是好像说如果有人打我这个手机号码那个号码是我没声了但是我想知道那个号码的主人我应该如何办 查不了啊 嗯不是说诶 
你好我想请问我想查询下我现在这个号码绑定的宽带在哪里 一天的嗯宽带问题问一下我就是之前都是用套餐的就是包是哪个就地址然后 一号楼是吗 
哎你好我想查一下本机的那个就是十月一号的通话记录我这个要怎么查 嗯他没接起来 噢这样子啊那我今天今天最高只能查到十月二号的五 
喂你好我想问一下我这个手机号码的那个密码 好吧 嗯没有了 
诶您好我想查一下我这手机号码的那个服务密码 
能不能查再帮我查一下这哎这半年来就是有一个手机号码有没有打电话给我的记录 诶 呃他说我不啊然后我们我确实没接到他说有打给我打了两次 
呃我想呃你好我想问一下我那个宽带密码那个什么服务密码是多少 他说是服务密码我也不懂什么叫服务密码 手机号的密码那是多少我都不知道忘了 
嗯嗯哎你好我问一下我服务密码多少再见对我的服务密码我们这边看不到如果 身份证号码知道啊 就是我知道啊啊 
您好请说诶你好我想问一下我这手机的初始密码是多少或者是现在的那个初始密码是多少我看一下您的密码没有获取过稍等一下嗯女士您这密码之前有获取过而且您都更改过了呃那更改过的话你这边能查到吗 噢那你再重新设置一个吧 好的 
哎我那个服务服务密码多少恩你那边能查得到吗 身份证号码嗯知道 电话不要挂 
诶请问一下我那个这电话的那个服务密码是多少 呃 知道 
哎你好 呃问一下我这个手机的服务密码是多少嘞 如果 
哎你好麻烦你帮我查一下这个手机号码是几星客户啊 他不知道他不是一个评分嘛他不是一个平常什么提醒的听那个个人吗 手机号码不是有个什么提升的吗短信的那个别人的吗 
你好想问一下我那个东山路十七号那个转不了皮具店那个用户名能不能查一下宽带的用户名 噢我今天现在就是忘记掉我现在就想想查一下到底是哪个 噢那比如说我那个我报一个号码能不能查得到的 
我要等下这个手手机话费吗查询手手机服务密码 到移动可以吗 诶那我上次怎么可以 
你好我这个我想查询一下我这个手机密码是多少 啊身份证号码身份证号码后六位数吗 我这个手机密码是身份证号码 
你好请问一下呃我这个服务密码你我想请你帮我查一下我现在搞不了我现在在这边用如果服务密码 我在浙江啊 噢好的好的谢谢啊 
喂你好我说我这个手机登录密码忘记掉了能能不能帮我查询但是重置重设密码 对对对对 
诶我问一下我这个本机的密码忘记了要怎么修改呢 哎 嗯嗯 
诶喂你好请帮我查一下我这个手机的服务密码好吧 重重置密码你发过来我们自己再 噢好的好的你发过来噢 
哎我想问一下那个我那个 是什么 啊 
这个移动的那个送那个用户名那个密码是多少 中国移动 对对对对 
哎你好 你帮我看一下我集团那个家庭网里面我又加了几个电话号码会不会看得 对对 
你好我这边装的那个电视那个用户零跟密码你帮我看一下是多少 不是本机啊 应该是在互联网电视吧 
诶你好我想问一下我这手机靠的密码是多少 对对 身份证号码现在有吗身份证号码 
您好请讲 全球通的套餐 见 
诶你好诶你给我查一下我这名下有没有别的号码要销户的 我人工台查不到 噢行 
呃我这边就是宽带账号密码能看一下吗就是 不是 嗯嗯幺三五零七五三四九四九 
帮我查一下我的服务密码 对 嗯嗯好 
嗯诶帮我查一下我这手机的密码是多少 知道啊 可以啊可以啊 
哎你好我想问一下我那个手机我不是我那个手机的密码是多少那个我刚才已经问过一次然后他说已经发短信过来的怎么到现在都没收到啊 对对 我知道啊我刚刚就是通过语音操作然后已经弄完了他他说会给我发信息过来呀我等了半天都没有啊 
喂你好你好 请问一下能不能帮我查询一下这个号码的一个号码帮我查询一下 就是他打我电话打了几个我需要要找它也算帐嗯你能不能帮我查询一下 
查一下我那个宽带的密码原始密码是多少 哎好像连不进去 里面就不用密码可以连接现在连接不上 
你好我这个手机是不是全球通您这个不收钱的是神州行了神州行那如果去日本怎么开通全球通的话 啊就是嗯没有不是我这个如果去日本可以用吗好您要去国外吗国外的本 噢要要还是全全州行了 
你好我想问一下我手机的服务密码是多少 
哎你好请问一下我这个手我这个手机的那个服务密码是多少 不知道忘记掉啦 对啊 
呃我想问一下我的宽带账号是多少 那个密码帮我重置在可以吗 噢你重置会短信的话到的不用 
喂诶你好 呃我这个号码去年办那个呃就是是老接网这块有没有设置密码 噢宽带 
你好我想问一下噢呃这边十元里面那个流 呃呃是五五二那个呃那个的号码是多少我现在不知道我想我想查询一下 对 
哎你好 你帮我查一下那个幺三九五零六九八零零三 啊这个月帮我服务密码告诉我一下 
诶你好我想因为我的服务服务密码是多少 没有其他办法吗因为我现在不在福建厦门的 啊那这么麻烦呢 
您好请问是您您好我问一下我这个手机的服务密码多少啊 啊好 啊没有其他没有谢谢 
请问你们这个手机的服务密码多少 嗯 没有没有我我这个我有身份证号码的地址 
呃我想问一下我这张卡是什么时候开始用的 那个他早上早上幺零零八六给我发了一条信息说说什么网银就是根据我网银然后由可能还会更高的以及星级啊那个有什么用吗 这样 
你好我这个手机号嗯那个服务密码多少 g的 啊 
喂你好 我想问一下因为我密码忘记了你现在能告诉我密码或者我怎么操作吗 可以啊那我现在跟你讲重新设置还是我自己怎么操作 
呃您好我想问一下就是我这个手机号码那个服务密码是多少啊 g的 到呃这个幺零零八六吗 
诶你好我想知道我这个呃服务密码这个号码的服务密码 卡 可以可以可以 
诶你好你帮我弄一下那个我什么查询密码是多少 对啊但是你是用短信发过来的那种然后我想我自己做一个能不能设的呀 我我原来发布那个短信不要去哪里找不到了 
哎你好请问一下我这个运营商的那个服务密码是多少 对啊 别的没有了 
诶麻烦你帮我查一下我这边是有我的手机号码是不是有个校讯通能不能帮我取消掉 噢好的还有没什么别的 噢诶它这个是每个月送两g的流量能能查得到吧 呃帮我把那个呃送诶现在那个呃流量的那个给开开通一下因为我昨天可能给停掉了 嗯有 啊 噢我想问一下因为我的那个呃移动卡有张丢掉了嘛然后去补卡的话他说要 对对对 龙岩的 
嗯 喂你好啊我是想问一下噢我想因为我电话查询密码吗噢我想但但是登记的是不是登记我老爸的名字我这个手机 没有我我想请问我这张卡这张卡的电话设置密码是多少 
我这个在 为什么激活不了啊 它那个快件寄过来的是福州福州福建省福州市鼓楼区 
