你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
专线请讲你好我想问一下我上个月那个不是八十八元的套餐吗为什么用了一百二十多 我看一下账单了稍等一下 谢谢您好好的在哪里是免费 哦哦 
没下午好你好是这样子的我这个 还好像又改成那个幺八八的套餐吗 订然后幺八套餐里面好像是有含这种呃一百兆的宽带是吗 对对就是还有问题吗 
您好请讲 诶是这样子也没有说查一下我现在是不是幺八八的这个套餐 是的是幺八八套餐 是吗 
您好请讲 诶我想问一下我这个手机有捆绑一个宽带对不对 二幺 那我现在不想捆绑的怎么办呢 
您好请说 呃我想问一下你帮我查一下我这个什么套餐啊 本机您现在用的是那个新飞啊把新的和家庭的九十九的套餐这个宽带是多少钱嗯 然后我这个是有要一几年吗 
您好很高兴您服务 我想问我我想问一下那个我这张卡有没有开通那个流量 您这张卡流量是这样子的一天有一块钱的五百兆的省内流量您当地有用到流量就扣一块钱五百兆的没有用到流量这边就扣您钱是这样子的 噢那为什么还不能用诶 
您好请问什么可以帮助您 我问一下我这张卡有没有开通流量啊 呃我看一下本机查询您没有另外开您是套餐内包含一天一块钱五百兆省内流量这样子 不是一天一块钱 
嗯嗯嗯嗯 你好请说 您好请问一下我现在这部手机的话是 旧套餐的是吗您这个号码是八元的套餐八块钱一个月 
恩那您请说 呃您好能不能帮我查一下那个这个月用了一个套餐之外的两块钱我想问一下是用的什么地方 噢好的您稍等哈 呃 
嗯嗯 嗯您好请说 哎麻烦你帮我查一下我这个套餐有个有办有办理过什么业务吗 除了您的基本三十八套餐之外有个五十元的流量包这个是手机参加活动的活动到三月一号为止明年的三月一号 
你好请讲 哎你好你帮我查一下我这个手机都有什么那个功能是要钱我有没有开通什么包月 有一个家庭网还有个彩印其他的有一个来电呃来电提醒下个月取消了彩印也取消了那就剩一个家庭网和基本套餐了其他没有了 经理也取消了来电提醒也加了 
嗯您好很高兴为您服务您好诶你好我想问一下就是说我本机有一个什么数据套餐是六十元的这个是什么东西啊 好您说的是上个月账单是上个月账单所以您上个月有一次性的花六十块钱买了六个g的国内流量然后从从那天开始算起一百八十天内用完一百八十天过它会自动失效掉 嗯嗯呃那我想问一下他就是说帮你看一下噢订了噢就是就是这个最近也呃移动数据套餐有十元的啊 啊您是您是说什么流量吗还是什么 
您好请说 呃你帮我查一下那个五百兆的那个快餐包到了没有 今天充值到八点多已经到账了二十四个小时的 噢噢噢然后我自己另外充了那个两百的那个月底失效的那个也到了是吧 
什么您好请说 诶你好你帮我查一下我这个手机目前都有什么套餐二 您套餐是三十八块钱套餐除了这套餐以外有一个是宽带的业务包 六八多少钱 
好您好请讲 噢我想看看这个手机有什么业务 嗯嗯可以稍等 噢 
嗯嗯您好请问什么可以帮助您哎你好嗯请说 帮我查一下我现在有什么套餐有线的呃主套餐是什么 飞享套餐三十八块 嗯嗯 
嗯嗯您好请讲 我想问一下我的那个已开业务有什么好像有一个一g的那个流量是不是收费的 呃他现在是要是有收费但是它有做活动给您活动期就说现在只收您十块钱 那活动已经到期了没有 
嗯谢谢您好很高兴为您服务 我想问一下那个我手机套餐是五八的那好像有一个什么办了一个另外的套餐是是多加十块钱的是什么什么意思 再加十块我看一下 啊 
很高兴为您服务 诶你好我问一下我我这个号码有没有办理什么业务 像您这张卡的套餐是三十八块的其他收费业务呢有五块钱的彩铃三块钱的彩印 那五块钱的卡里面怎么会我没有开通啊怎么会有的 
嗯你好请说 你好哎我上网流量六十块钱包包月的还有没有啊 稍等一下啊你这个流量目前还有四g多啊 对那怎么我这边显示没有 
唉呀您好请讲 嗯你帮我看一下这个号码有嗯开通什么套餐吗 就是基本套餐费一个月十八块钱还有一个三块钱的来电提醒手机阅读六元彩印三元其他的就没有啦 手机阅读删掉来 
你好好的 你好很高兴为您服务 我想问一下我现在这个套餐是多少的 我看一下八十八的 
您好请说 噢你好我想咨询一下我这我现在有什么套餐呢我的手机啊 嗯您这个套餐的话是那个和家庭七九套餐然后的话有开一个十块钱一百兆的流量包然后呢其他就没有了 还有其他没有那为什么我的流量这么快就没有掉啦 
你好请讲 诶你好请帮我看下我手机有没有开通一些增值业务 有一个彩铃跟彩印我看能不能够帮您取消 好 
您好请讲 诶请帮我查一下我这个用的什么套餐的 嗯您现在目前用的是一百五十八的套餐呢 噢要不然下个月帮我转一百八十八的 
帮您请说诶你好恩 哎我想问一下我的那个这个本机上有订了什么业务啊 噢您这号码的话就是产生了就是那个有个来电显示嘛然后彩铃还有些什么幺二五八零会员噢其他业务 您多少钱 
愉快再见您好请讲 你帮我查一下我的手机呃这个卡开通一些什么东东 收费就八十八块钱月租加上两块钱来电提醒还有六块钱五十兆的流量这边有办理一个超级qq然后手机游戏个性化彩铃还有才能开 收据游戏什么东西 
诶您好请说 哎你好帮我查询下本机有什么扣费项目 呃稍等一下 好 
嗯嗯您好请讲 呃喂您好我想问一下我这个嗯什么套餐 您现在是用的是新的三十八的飞享套餐女士三十八块钱套餐费 那为什么我上个月手机费是就是这个月一号交了 
您好很高兴为您服务 诶你帮我查一下我那个另外一部连接这个手机的那个套餐是怎么 有手机服务密码有吗的什么手机数据它是另外一张号码卡的情况要有密码才有权限查没有密码我们这边是核对不到的 密码都忘记了 
哎嗯您好 有那个我问一下我这个手机不是改成下个月三十八的套餐的 嗯帮您看一下您稍等三十八对的 三十八那个那个哎能不能给我换个 
