您好什么可以帮您 诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 我帮您检查一下您稍等一下其实是那个三十块五百兆嘛我看了一下这个比较早开通了如果这个不要可以取消 唉你们那现在等于是最低是多少兆多少块二十几块套餐是不是 
请您好什么帮您诶您好 喂你好诶我这个原来是十八块钱套餐怎么会改成三十八的套餐呐 我看一下噢先生您这边新入网的时候您当时去年八月份就是三十八元的套餐呀 因为我现在我现在这个没怎么使用那改成十八块的套餐好的那十八套餐它是本地打国内通话一百分钟 
您好很高兴为您服务 你好为什么这个月我这边有个什么恢复什么东西开通了我记得我这个月都没开通网业务啊 稍等我帮您看一下噢您说的是那个手机阅读吗那您这是一个手机阅读帮您取您是不需要这个我帮您取消吧 你想你什么时候给我开了我都不知道我上个月都没有这个费用嗯嗯 
你好很高兴您服务 喂你好 你好 我想问一下我这我这个宽带的手机收费怎么突然间你们自己可以更改四十一块钱的那个那个宽带费的了 
您好很高兴为您服务喂你好恩你好 诶你帮我查一下我这个套餐现在什么时候怎么有一个咪咕特级会员 您稍等我帮您查看一下噢恩好稍等 什么密码 
你好很高兴为您服务 喂你好 嗯 请问一下我那手机那我的福利里面打电话来说我怎么里面有啥包月有包年那个什么彩印啦还有一个什么 
您好请讲 你好 你好 我现在这个手机是我查了现在网上面说我是一个是新飞享新飞享三三八套餐还有一个什么四g书四g飞享三八套餐这怎么两个套餐啊 
您好请讲你好 诶你好就是我的那个手机为什么有一个四十块钱那个什么流量套餐呐 噢好稍等一下噢那是本身有办理一个包月四十元的如果不要我现在帮您取消 我没有包了什么时候办了我就可 
您好请讲 呃我想问一下我这张卡号码卡怎么变成全球通的 全球通 您这个账号是什么 
啊您好很高兴服务 幺五请问下我这里怎么开通什么可能下午和校什么 校讯通对啊这个就取消开通这样您看要取消掉吗 学校开通的 
啊 您好请讲 喂麻烦你帮我看一下我我都没用那个阅读业务信息什么三十元还有很多都没用了怎么会扣掉那么多 好的您稍等我看一下上个月的扣费是不是啊 
您好请说您好我因为前两个月我就打电话给你们那边噢呃就是说那个什么每个月什么咪咕音乐啊每个月都要扣六块钱的不是给我扣了多少个月了每个月都给我扣但是我从来没有开通这个业务以前两个月我就反映过这个问题了结果还在给我扣你说的是咪咕六块钱是吧 对这个月没 办一下没有开啦哎 那上个月怎么还在扣钱呢 
您好高兴为您服务 喂你好 诶请讲 我这个下午收到一条短信他说我什么五百兆流量我都没有申请 
如果 您好什么可以帮助您 嗯那个我的手机最近有办一个宽带的时候然后他们提示我二零一六年三月份开始就每个月再给我扣一笔宽带是一个没有在用宽带我这个可以投诉吗 之前是您自己去申请的吗 
您好您请说有什么可以帮到您 诶问一下我这个手机怎么有人北京什么六十那那么上什么网六六充上什么网站那个四十四块钱我都没订嗯没订这个东西呀 恩好为您查看北京六度畅游网络技术这个是吗 可以 
您好请说 喂你好麻烦你帮我查一下这个号码奇怪昨天晚上一直有那个什么公司扣那个什么情况我觉得很奇怪 公司扣款您是收到短信是吗 会收到短信然后我没有任何操作呀昨天晚上七点多的时候 
您好请讲 请问一下就是我这个里面怎么会有个五十块钱的那个流量怎么包 恩马上帮您查询感谢耐心等待那这边帮您查询的话您说的这个它这个五十块钱全部由我们公司出的就当时那个幺三九套餐的时候它有多送你一g的那个流量 但是它它这个就是说当月扣然后下个月返还是吧 
你那您好高兴您服务您好我刚才在那个手机查询那个 网上营业厅发现我九月份等于二呃移动数据套餐二十元他们这边觉得帮我查询一下我好像没用我好像没有购买什么移动套餐 那就这样 明白了在五月份的时候是六月份的时候购买了一个好像六十元半但另外一个数据的嗯嗯 
支付宝您好请讲再见您好 喂你好 呃你好你帮我那个刚刚 他那个手机短信幺零零八六发了一个十五个那个什么帮我开通了一个什么移动魔百盒的那个什么新东方可以十二课堂那什么月保那个是怎么回事啊 
嗯嗯很高兴了 诶您好 啊你好 诶您好请说 
嗯您好请讲 喂你好 嗯嗯 诶那天那个有一个人是吗反正给我打一个电话要给我加什么一百三十八的我都打不到那么多谁今天给我乱加 
您好您说 这个我的另外一个手机彩印怎么帮我改掉了 另外一部手机的彩印 对啊 
您好请讲 喂你好嗯请说我噢就是现在不是在学校吗还是那个办理的是四十八元套餐对吧噢然后他这边我刚刚去办理个宽带然后在上面显示做一四年办理一个十元两百条短信的套餐说是我是通过人工台打电话然后办理的我押金就没有办理过这个业务而且当初四十八元套餐的话里面不是包含两百条短信然后我去办理的话我也去询问过他说我没有办理过其他业务然后我今天那个人跟我说我有额外的业务 就说您当时八四八套餐的时候它这边跟您说没有开通其他的业务 那现在他就是有开是这个意思吧对而且还开通了三年是我刚他刚刚查询到时候是一四年八月份就我还没有上大学的时候开通的如果是这样的话是四十八元套餐的话本身就包含它要先就没有跟我说有其他的业务所以我觉得就这个这三年多扣了三百多块钱我觉得我是不怎么用这个账的 
您好高兴您服务 你好我刚才接到个短信怎么给我他怎么说下个月给我登记的幺三八的了我本来是八十八的嘛 对啊您是下个月改成幺三八套餐呢可以在龙岩本地流量不限量用的您这边有没有呢 不要不要我跟你讲他前两天给我打电话他就说八十八的升没有说八十八变成幺三八的 
您好请说 喂你好 你好 哎我的那个手机里面最近 
您好请讲喂你好我呃怎么里面有那个什么套餐费请您稍等啊我都还剩都没有申请诶 噢我这边帮您看到您的套餐是十八块钱一个月的然后套餐外的话就是有那个呃流量的话一共是六百兆的省内流量那个是赠送的这个您不用花钱开通的然后其他业务的话我也帮您查了呀您这边嗯也没有开通什么其他收费业务啊 是不是那个什么套餐外上网我好像没有申请根本就没有扣钱了 噢套餐外上网的话那个是原因是您的流量超过的噢流量超了上产生的费用 
您好请说 喂你好 嗯 刚开始我这张卡的好像是一天一g的流量现在怎么改成一个月三百兆的流量的呢三千兆的流量嘞 
您好请讲诶我这个手机发的信息我不是只有开通了一个月八块钱的现在怎么多了好多东西 嗯您查询有有扣什么钱吗 有就是那种彩铃了然后还有开郁闷什么东西好那我帮您看一下您稍等一下对你好嗯哼 呃您手机没有开彩铃啊您什么时候看到有开彩铃的 
您好很高兴为您服务 呃您好哎我我有一百兆那个省内流量这个是什么时候送的我都不知道 稍等一下您不要挂机 啊 
您好很高兴为您服务您好 我什么时候办了三十八块钱的八套餐嗯刚刚 刚刚办的下午一点多 没有我没办法 
哎您好请讲 喂你好嗯您好请说我的套餐里面怎么会有一个什么和教育那个那个那个那个套餐呢 噢那是校讯通的这个如果您不需要可以帮您关掉 帮我关掉那个自动给我开通了有手机可能每个月一次性十块钱的套餐费我也没开通 
您好请说 哎你好诶你好麻烦你帮我麻烦你帮我看一下这个我这上面怎么就那个那原来不是现在不是改成八十八块的套餐吗对它那个上面怎么还有什么看什么数据套餐三十块啊数据流量包啊 啊九月份啊 我帮您看稍等一下 
你好 喂你好我这手机怎么么就今天一下子七八条短信说帮我开通了什么东西咪咕什么 什么来电啊什么东西啊我查一下哈 晚上我都没开通那个我开通了乱七八糟的一大堆 
您好请讲 诶请问一下我我这个手机怎么么 什么有和留言什么意思啊啊什么业务 不是啊我我按照你帮我查一下我的手机都开通了什么业务给我看 
哦 嗯 您好请讲 我问一下这部手机号是公司的噢我也不知道为什么有个五十块钱的那个套餐所以这个月欠费欠那么多 
您好请讲 诶你好请问一下就是我这个号码怎么它自己会订购咪咕跟手机阅读这一个这两项能帮我取消吗 呃可以啊我看一下您稍等一下 嗯 
您好请讲 你好诶我发现我九月份的那个账单啊是二十多块钱啊里面有一个什么彩信啊我都没有订购这个东西了怎么又这样子的嘞 噢彩印啊您那个噢彩印业务的话我看一下噢它是送的虽然说有扣钱噢但它有等额返还还有几个也是送到那个还有一个是咪咕会员还有一个是来电提醒这三项噢这三项的话都有扣但是都有等额返还给您我帮您申请到期自动帮您取消掉吧自己算好吗 噢都取消掉是啊 
您好请讲 诶我手机怎么又开通了一个什么和教育的那个啊和教育的那个什么套餐 我帮您查一下噢请稍等一下啊我刚刚他是学校的学校那个校讯通这方面的东西短信请稍等 我又没订购为什么会会开通的 
您好请说 喂你好我想问一下为什么我这个月的夜间流量怎么突然就没了 夜间流量吗 对 
下午好很高兴为您服务 诶我请问一下我没有购那个三g的那这个流量的谁帮我弄的 先生您好请稍等我帮您马上查一下不好意思 你你这个三g流量我都没有去申办这个东西怎么给我搞个东西流量 
下午好 你好我想查询一下为什么我没有办理那个宽带业务怎么给我说提提醒的宽带业务五十二亿成功 女士您本机号码没有办宽带是吗 对啊我没办呢 
您好很高兴为您服务 喂你好 您好 诶跟我刚才收到一条短信他什么时候和教育那个 
你好请讲 呃您好你帮我看一下我这里面怎么会有一个什么宽带包月龙融合的怎么要二十块钱啊 女士您这个号码有办理移动的宽带啊每个月有返还给您二十块钱话费呃每个月返还十块钱话费的活动您自己没有办吗 有办理啊但是这边什么什么怎么会显示什么扣费了二十块 
你好请说 你好 哦您好 诶那个是这样的我刚才看一下我的上个月的九月份的一个账单嘛噢那其中的话有个二十块的一个什么移动数据费用可以然后这个这个我从来没有开通过因为我有其他流量我不用不完了 
您好很高兴为您服务 喂你好 啊您好请说我我想我想问一下除了七十九块的那个基础套餐这么多 很多乱七八糟东西啊我都没有办理过 
您好请说 诶你好我想问一下那个我套餐里面怎么会有一个什么二零一六年怎么那个那个一百兆是什么请 八零营业厅您噢那个是送的没收费的 噢那个是说我没收费对是的十月二十二号到时候就这个月用完它就取消了那个没关系噢好好 
你好 喂那个之前我跟另一个另一个号码共享流量它为什么发短信跟我说我已经取消了我没有取消啊 我看一下行 吧 
你好 喂你好哎我手机的彩铃怎么突然改成一个g的一个一千分钟的那个宣传的诶这个那彩铃怎么改啊 噢您拨打幺二五三零去改 幺二五三零幺 
啊您好很高兴为您服务 喂你好我想问一下把这个号的机主的那个套餐流量另外开通的 呃这个号码没有流量它这边是正常去用流量的一兆两毛九都用了六十九块钱 它那个不用流量它那个老人家怎么不不知道啊什么流量呢先把它扣了那么多 
您好请说 喂你好 您好 诶我刚刚看了一条短信我怎么变更三十八套餐没现在啊我好像没有变更了 
您好请说喂你好 就是我发现我的手机上钱这两个月有一个了四g两g的一个七十元的套餐 那个 那个那个那个好像我没有主动啊噢就是好像上次就是你们业务员打电话过来推荐然后我跟他说我不要这个业务怎么还是给我开了嗯 
喂 你好 喂您好嗯那个我这个手机有那个开通了怎么开通了好多什么咪咕啊那些套餐全部帮我删掉只留一个来电提醒的就可以了你帮我看一下 您是来电提醒吗 
您好请讲 诶你好诶你帮我看下我这个彩铃呢是怎么回事啊 彩铃稍等帮您看一下呃您这边是申请了一个季度包的剩一个季度的一个送一个季度的一个彩铃给您啊 它是免费的是吧 
您好很高兴为您服务 哎你好我那诶我们这卡怎么有办一个什么咪咕音乐的套餐 咪咕音乐那个是送您的要取消吗 对啊那我都没订制这个怎么突然会跑到这个出来 
您好很高兴为您服务 喂你好我想问一下就是今天它发了很多短信说我订了什么校园什么网络套餐我没有订啊不是什么 呃呃您这部电话吗 对对 
您好请讲 喂你好请问一下啊呃我我这个二十八的套餐我怎么没没有经过我同意你现在这个上个月就给我搞到一百三的套餐 我给您看一下 诶哼哼六 
您好请说您好请说诶您好诶你好我这个送 有开通那个什么家校互联集团功能费 去了十块钱我都没开通是不是啊您稍等一下我马上为您查询 嗯嗯卡嗯嗯 
您好很高兴为您服务 喂你好你帮我查一下我上个月怎么会有那个移动数据套餐四十元那 正在帮您查询请稍等 嗯嗯 
啊有什么可以帮您 啊你帮我查询一下我这里面有个什么显示什么呃什么视频我好像之前没有开通这个业务你帮我查一下 这个业务您早期去年十一月份就开通的了 噢去年十一月份就开通了 
您好很高兴为您服务 刚才收到短信什么我有申请办理什么新的业务啊我都没办啊 呃对是我们这边帮您查询到您目前在下个月办新的套餐一个月是三十八块钱套餐 我们办理呀本来就是这个这个业务啊 
你好请说喂你好喂你好诶请说 诶我就我我这个这个手机没有办流量怎么经常会有流流流量流失啊 你稍等我看一下因为您手机这边没有开流量没错但是有上网功能诶可能有时候连接到网络了您要不要把上网功能关掉啊 部手机上装 
您好请讲 喂你好我们一开我这张卡是包月还不是八元 您目前用的是八十八套餐的 八十八套餐 
你好呃您好 麻烦你这查一下我这个本机什么时候改飞享三十八套餐我都不知道 在九月二十五号改的 那是是有那个外呼电话改的吗 
是 您好很高兴您服务喂你好呃您好有什么可以帮到您因为 你们怎么给我弄开通什么什么新飞信欠费欠费到什么精选 新飞享套餐 
幺五 您好请说 喂 呃您好请说 
你好您好 好好诶帮我我一个流量卡你帮我查一下怎么嗯那个幺五二 幺五二 八零七 
他你好请说 呃您好那个你帮我查询一下就是我前天我又开通一个块钱的上网流量你看一下什么情况 噢好的您稍等一下我看一下您开的是一个三十块钱的流量五百兆的这里显示有正常生嗯是您说的是十八号那一天对不对啊 对啊彩铃它发短信来我才用两百三十兆已经每天嗯因为它这个它这个是按天折算的话费用了啊 
