可以帮我把这个卡升级为四g卡吗 哦不能在你这边直接升级是吗 哦好好好打扰了还有什么可以帮您没有没有 
帮我查一下我这张卡是二g卡还是三十块 你可以帮我升级吗 只能去营业厅 
喂你好诶我想查询一下我想补卡补一张吗我那个卡那个就是那个号码卡我不知道放哪里去了然后小碰号码呢 在永福晋 呃没错但是你们就说 
诶你好 哎你好我有个手机丢了然后我号码我想要八六出差呃然后我在北京属于浦福州的卡嘛 噢 
我这个卡我我问题时有人接那个我可以换吗 这个卡 对 
您好很高兴为您服务呃我要换一张四g卡 操作的噢就是一定要在那个下个月才能对吧 噢好的那我知道因为我已经在网上取消掉了 
喂你好相声我想查一下我这个手机号的那个我不是这个号码我本机吗现在用那个本机吗是我老婆的身份证买的吗像目前我帮您我想查一下我去这个手机号码这个身份证到底现在pos购买的那个号手机号啊 啊对对对 你说我我在我带我老婆的身份证去就可以了 
唉这个那移动开通好了昨天然后再开后来我北京付啊 啊啊 噢就今天好了是吧噢好好好那我我们这个信息sim卡换一个 
喂您好我是公司办的手机卡然后掉了然后我想现在现在想补办 没有 呃幺五九 
喂您好我是公司办的手机卡然后掉了然后我想现在现在想补办 没有 呃幺五九 
喂那个密码已经重置好叻不是同学说什么呃我这个你要给我把卡升级为四g今天收到那个卡给我激活就可以了 重新录备份下来了 知道呀 
唉你好我我我我想咨询一下我原来是说一个比较大的卡现在购买了应该没人接他说什么要那个什么卡我这个去营业厅要幺三七七七千块 呃营业厅要等于说原件原来这个这个不行 啊 
错了哎您好很高兴为您服务吧喂嗯 啊呃可以了是吧噢你要换什么换卡哎换卡换台对换卡你把地址告诉我们送过来呃是那个金沙江路普陀吗艾普陀对 呃幺六九八弄 
哎你好我想请问一下就是我本来有一个卡呢要换成呃就是小卡 对呃然后我咨询的话现在人不在上海我能不能就说正好她身份证在啊身份证拿到我的有效身份证件然后找一个人过来可以办吗可以拿来干嘛 嗯好的好的我知道发展路上有一个是吧 
喂你好我想问你一下我在外地那个那个外地卡呃那个手机那个手机那个手机被人家说了可能不能在你这里不了卡 你要什么呢 密码有吗密码我不知道但是身份证有 
幺六零五五 嗯嗯 幺九 
您好很高兴为您服务小姐我想换卡 呃我其它方式可以吧 嗯嗯就是在那种和教授上出去身份证可以吗 
