您好什么可以帮您 诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 
请您好什么帮您诶您好 喂你好诶我这个原来是十八块钱套餐怎么会改成三十八的套餐呐 
您好很高兴为您服务 你好为什么这个月我这边有个什么恢复什么东西开通了我记得我这个月都没开通网业务啊 
你好很高兴您服务 喂你好 
您好很高兴为您服务喂你好恩你好 诶你帮我查一下我这个套餐现在什么时候怎么有一个咪咕特级会员 
你好很高兴为您服务 喂你好 
您好请讲 你好 
您好请讲你好 诶你好就是我的那个手机为什么有一个四十块钱那个什么流量套餐呐 
您好请讲 呃我想问一下我这张卡号码卡怎么变成全球通的 
啊您好很高兴服务 幺五请问下我这里怎么开通什么可能下午和校什么 
啊 您好请讲 
您好请说您好我因为前两个月我就打电话给你们那边噢呃就是说那个什么每个月什么咪咕音乐啊每个月都要扣六块钱的不是给我扣了多少个月了每个月都给我扣但是我从来没有开通这个业务以前两个月我就反映过这个问题了结果还在给我扣你说的是咪咕六块钱是吧 对这个月没 
您好高兴为您服务 喂你好 
如果 您好什么可以帮助您 
您好您请说有什么可以帮到您 诶问一下我这个手机怎么有人北京什么六十那那么上什么网六六充上什么网站那个四十四块钱我都没订嗯没订这个东西呀 
您好请说 喂你好麻烦你帮我查一下这个号码奇怪昨天晚上一直有那个什么公司扣那个什么情况我觉得很奇怪 
您好请讲 请问一下就是我这个里面怎么会有个五十块钱的那个流量怎么包 
你那您好高兴您服务您好我刚才在那个手机查询那个 网上营业厅发现我九月份等于二呃移动数据套餐二十元他们这边觉得帮我查询一下我好像没用我好像没有购买什么移动套餐 
支付宝您好请讲再见您好 喂你好 
嗯嗯很高兴了 诶您好 
嗯您好请讲 喂你好 
您好您说 这个我的另外一个手机彩印怎么帮我改掉了 
您好请讲 喂你好嗯请说我噢就是现在不是在学校吗还是那个办理的是四十八元套餐对吧噢然后他这边我刚刚去办理个宽带然后在上面显示做一四年办理一个十元两百条短信的套餐说是我是通过人工台打电话然后办理的我押金就没有办理过这个业务而且当初四十八元套餐的话里面不是包含两百条短信然后我去办理的话我也去询问过他说我没有办理过其他业务然后我今天那个人跟我说我有额外的业务 
