诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 唉你们那现在等于是最低是多少兆多少块二十几块套餐是不是 三十块他说三十块五百兆吗 
喂你好诶我这个原来是十八块钱套餐怎么会改成三十八的套餐呐 因为我现在我现在这个没怎么使用那改成十八块的套餐好的那十八套餐它是本地打国内通话一百分钟 就可以 
你好为什么这个月我这边有个什么恢复什么东西开通了我记得我这个月都没开通网业务啊 你想你什么时候给我开了我都不知道我上个月都没有这个费用嗯嗯 行那我为什么会被开这个大概我帮您看一下啊恩好 
喂你好 我想问一下我这我这个宽带的手机收费怎么突然间你们自己可以更改四十一块钱的那个那个宽带费的了 有谁办来了没有啊 
诶你帮我查一下我这个套餐现在什么时候怎么有一个咪咕特级会员 什么密码 登那什么它里面有显示扣费了 
喂你好 请问一下我那手机那我的福利里面打电话来说我怎么里面有啥包月有包年那个什么彩印啦还有一个什么 如果没用那把它取消掉好您稍等您的也没有了 
你好 我现在这个手机是我查了现在网上面说我是一个是新飞享新飞享三三八套餐还有一个什么四g书四g飞享三八套餐这怎么两个套餐啊 一点我觉得上面只只显示移动数据流量是五百五百三毛八 
诶你好就是我的那个手机为什么有一个四十块钱那个什么流量套餐呐 我没有包了什么时候办了我就可 那我办理的不是当月当月的吗 
呃我想问一下我这张卡号码卡怎么变成全球通的 您这个账号是什么 不是以前不是现在怎么我没变更怎么自己变成全球通啊 
幺五请问下我这里怎么开通什么可能下午和校什么 学校开通的 怎么学校开通的我没开通它怎么帮我开通了好像有人 
啊 喂麻烦你帮我看一下我我都没用那个阅读业务信息什么三十元还有很多都没用了怎么会扣掉那么多 这个月这个没有发一个已经话费用了多少了 
对这个月没 那上个月怎么还在扣钱呢 对而且我当时说我没开通你这个钱怎么给我补偿每个月给我扣六块钱就给我欠费了还是给我扣我说之前那几个月的给我什么赔偿的那上个月就还给我扣因为我现在现在没开 
喂你好 我这个下午收到一条短信他说我什么五百兆流量我都没有申请 那个不行 
如果 嗯那个我的手机最近有办一个宽带的时候然后他们提示我二零一六年三月份开始就每个月再给我扣一笔宽带是一个没有在用宽带我这个可以投诉吗 我没有三月份没有申请过我是很早以前有用一个宽带但是在那之前二零一五年九月份我就已经停用了 
诶问一下我这个手机怎么有人北京什么六十那那么上什么网六六充上什么网站那个四十四块钱我都没订嗯没订这个东西呀 可以 啊行 
