你好我想叫你帮我查一下这鸿梅小区这一段是不是那个呃无线网络没用了 呃电视看不了上网也上不了 
诶你好 就是我我想咨询一下现在我我这边能不能装宽带 
啊对对对你帮我看一下我这个地址能不能拉宽带请稍等客服密码好的 呃原先的地址是在那个北头北头村里面然后我现在要改到那个呃仓山说下村 
喂你好 问一下我这个宽带那个线路问题没有 
我呃你好帮我查一下我呃我这个地址看一下那个呃宽带能不能装 
嗯呃不是是一g那我原原来有申请过移机啊从已经涉及到后头是当时跟我讲说这边附近没有十元那我想问一下什么时候可以用 现在地址是啊武东村送投诉 
哎你好帮我查一下那个漳州市一条线福美镇大湖村那个之前那边的那个噢宽带充了没有可以可以装吗 可以可以可以要装就是不知道那别人要到了没有然后要装要找谁 
嗯嗯 诶你好 
你好我想问一下我这个地址的话能不能办申请安装宽带 嗯嗯对 
诶你想我想问一下我想咨询一下那个我这个地址可不可以什么时候安装宽带啊 
喂我那个那个宽带的那个我要一个去那个他说有有没有线路啊 对对 
呃你好您好请讲诶帮我问一下那个从那个同安那个叛徒红灯你这边四十八刚阳这边有没有宽带宽带现在我要去网络 
喂你好那个我想问一下现在是不是移动的网络现在已经不现在到农村里面来了 对 
请问我想问一下我这边我它这个就是移动宽带覆盖都没有 嗯嗯 
喂你好 我想咨询一下我那个我家里能不能它那个宽带线能不能过来了一下 
诶你好嗯喂 诶听得到诶就是说我那个你我那个幺八八现在不是改套餐嘛他说有送宽带吗我我那个地方到底有没有宽带 
宽带单位可以装吗 是 
唉你好我想了解一下移动的这个宽带套餐 对 
喂你好 您好 
喂你好 哎我想问一下我现在就在嘉定这边然后我这边有那个程序里有一套房子啊他跟我说他们现在移动累计就是那个铁通的自觉讲 
哎我想查一下有呃一个四元你们的一个百兆资源一个地址百兆是 呃金钟路一千一百一十八号重新提上才 
你好我想问一下就是我想办理那个什么呃家庭承诺消费送宽带的那个业务吧嗯你能帮我看一下就我们这个地址呃这边有资源吗就是呃可以 立水六浦东新区 
喂您好我想查一下我们小区没有覆盖移动的那个宽带 浦东新区羽山路包的嗯 
唉你好我想问一下就是我这边地址能查一下可不可以装那个移动宽带我 呃徐汇区肇嘉浜路 
喂美女你好 我想问一下就是宽带业务我们那个宝山区可以办理吧 
唉你好我想装宽带呀你们我我这里不知道有没有一百兆二百兆的 地址啊真光路 
呃我想问一下就是说海滨五村这边的话宽带可以有光纤吗 宝山区 
喂你好哎我是上海今天这边的对我想办理那个宽带我想咨询一下哪里 对对对就用那种个人消费呢帮我那个活动嘛二十八的八十八送流量 
啊没听懂你再说一下嗯 噢打东方有限制啊 
哎我想问一下你们那个浦东新区呃靠近北蔡这边有呼叫的宽带吗 呃是在朋友如何盛春路这边交界的地方或者谢谢谢谢 
您好这里是宽带服务吗 我想问一下上海就是超完这一块能装了宽带嘛 
喂你好麻烦帮我查询一下那边能不能装宽带帮我给个地址给你请讲方出巴黎春张春芳对当初用发现 对 
讲 行就福州路三百二十弄对吗 
喂你好哎我想问一下我那个工作是三百八十号有没有申请的 到底去吗因为 
唉小姐你好是这样的我想查一下有一个地址不知道你们一共有没有宽带资源 地址是虹口虹口区的 
你好中国移动宽带是吧嗯我想查一下那个高桥更高合作这里有没有是吧撤销 对 
喂唉你好 就你们这个移动宽带能不能移机的 
唉小姐我想问一下我这都在风县信息做台湾城小区有没有这个宽带业务就是之前在我看到一个广告信箱里就是呃月消费七十八元每月二十元就是可以享受宽带 啊我我说了吗和台湾成奉贤西渡台湾成 
唉你好先生我想问一下啊就是嗯是这样的因为我想问一下因为我现在用的那个是长城宽带如果我那个想想换你们这边宽带的话呢换的对吧 什么叫地址覆盖 
你好我现在是要搬家嘛我想问一下就是我是办的地方那帮我查一下有没有那个你们宽带那个接口端口 后面去手机号 
唉你好是这样的你们这个移动有那个消费就是说送宽带的那个业务我想问一下就是上海市那个共康村 应该属于南区的 
支付宝好你好你好你好你帮我那你帮我查一下就是嗯名下有没有那个移动那个宽带 一 
喂你好 哎我想咨询一下一个地址能不能办理宽带 
中国移动是吧 我想我想那个办理一下你们移动宽带可以办吗我觉得那个地方 
对 喂你好我这边查一下我这个地址是不变帮我查一下好吧 
哎你好我想问一下那个朱冬村上海浦东新区周东村包呀四那种东西能不能安宽带 朱东村 
呃您好我想问一下就是我家现在这边能不能办那个就是你们这边的宽带你能帮我查一下吗 呃上海宝山区 
喂你好那个我我想办一个那个就是自己手机提升到一百零八的套餐装免费宽带我这边是长宁区的呀 蔡新金现在是一百三十一号幺 
账大概什么时候能装 喂你好唉我这个家庭客户我想申请一个宽带 
唉你帮我查个地址 啊都会路三幺九九弄 
唉你好我在上海这边然后有呃成立的一个新的公司然后我需要去做一些就是公司的电话业务已经网络业务我想问一下咱们这块是怎么做的我大概需要一个那个一百兆的宽带或者是光纤然后还需要要还是要大概一百个人的座机 有的我在上海坪村大厦然后蓝港路百五百多号这个上海听请说请是那个品德的品村是尊敬六吨 
噢你好我想问一下普陀区白日路五十八号能不能装鞋宽带 白日六 
你好我这边想咨询一下那个就是我是那个个体户吗电力吗想装的那个wifi的问题 啊对店铺呃刘莹路七百七十七号 
唉你好哎你好我想问一下呃我我们我住这边有没有这个覆盖的这个宽带这个是松江区 松江区是闵塔路全一千七百五十七号吧就就是那个前段新村 
唉你好那个你们现在我报个地址给您车墩这边可以那个吧可以办理们移动的业务吗宽带业务 车墩镇车丰路乔峰路 
我想我想查一下我们将附近有你们的宽带光纤网络 
你好我想问一下那个家里宽带嗯嗯就是那个我我不知道那个呃彩铃打区可以转吧移动的 呃上海市崇明区 
那个我是那个企业吗 在那个商用楼月租的这个办公室吧然后呢要办那个宽带呀然后我就想问一下那因为他的物业跟我反应说是什么找一家什么名应该怎么代理公司现里面移动宽带 
唉你好 噢我想我这个手机号就是说把那个宽带 
喂你好 呃我就想问一下我想装一个宽带 
的喂你好嗯那请问一下我就是跟你说一个地址看这边的话可以按安装宽带吗 呃松江区小昆山镇嗯嗯凭原街三百一十二弄 
唉你好你好我给你个地址能帮我查一下能不能装宽带好吧你们移动的宽带 浦东新区 
呃我想问一下你们那个移动宽带覆盖那个一个小区吗 噢可以 
呃你好我问一下就是呃我在那个闸北区那个芷江西路十三路这里支不支持那个那个移动宽带的 
喂你好呃我想问咨询一下那个移动宽带 不是我想咨询一下我这边小区可以办吗 
唉你好呃我想问一下就是呃之前你们给我打过电话说我这个套餐可以享受那个宽带的赠送宽带的然后你先帮我查询一下我手机的这个地址啊能不能就是有你们网络现在 呃呃松江区永平镇 
唉喂你好我想问一下你们这个送那个网络帮我查一下这个地址那边能装吗 呃上海浦东新区 
唉喂您好我想咨询一下我们这里能装什么样的宽带嗯您地址报给我给您查一下看看上海市宝山区北安路 每月美丽的美按天按盘 
唉我问一下我是那个广元西路三百四十一弄的呃我们这边的那个宽带就是你们不是在搞那个活动啊什么宽带尽快加急活动这边有我这个小区有没有 唉对对对 
喂你好喂 呃你好我想办那个宽带想咨询一下什么叫伟 
唉喂你好嗯我现在是那个呃那个学生的紫竹园那边我们这边能装移动的宽带吗 对对松江区的 
唉你好那个你们这边是移动的那个宽带是吧 哎我想问您一下一个呢就是我这边叫那个万科金谷松湖小区就是这个地方你们能装不能装 
喂你好我问一下那个装宽带的呀 呃就是青浦明白加量嗯因为现在那个九元六跟新桥路那个地方三百八十七号那里有没有覆盖 
喂你好我问一下我这个地方能装你们那个移动的宽带啦 到上海市浦东新区 
喂你好我想问一下你我这里不是光纤有没有我可能没光纤不名字顾唐路 沪太路三千一百五十六号 
唉你好那个我咨询一下我这边是宋贤西青村镇运河村一百三十三号这边现在都可以那个办宽带 啊我就是送贤区新生镇六县 
呃 
哦 喂你好唉我想请问一下呢这我现在是在那个闵航就是春申路 
唉你好我问一下你们不是有那个承诺消费那个宽带业务啊嗯嗯 然后我问一下那个那个你帮我查一下那个噢上海市浦东新区书苑镇西村七栋二号四零二可不可以的 
哎你好我想问一下我所在小区能不能装这种免费宽带就是说个人消费满一百五十八送宽带那个 对的 
你好我想请咨询一下就是说关于那个新办这个没用你们这个移动的这个宽带然后新装吗 对对是的然后那你们 
呃您好是这样子我这边想办企业宽带的话我给你个地址你帮我查查有没有资源 是呃呃是在娄山关路五百三十三号 
嗯谢谢我想咨询一下就是你们就是移动的宽带现在也是光纤用户吧有的有看小区的看小区的我们这呃浦东新区莲莲花这里是什么这个是不是光纤用户啊 浦东新区元建华什么电话联杨言阳 
哎你好我想问一下你们那个移动的 不知道的 
呃你好我想咨询一下我现在在上海然后闵行区北省路两百六十弄可以装网线吗 全良对吧哎呀那行 
啊你好哎我想转一下宽带是怎么个状态呀 啊广零四六五七二弄十九号一零二 
宽带覆盖的小区说是新增了五佰个小区对于新办理那个入网的用户有一个呃优惠的一个接入网的价格对吧我想看一下我的小区现在是不属于如果属于的话从下个月开始我就显示 一毛 
噢我想问一下在顾全路这里可以办宽带吧 四零 
喂你好我想问一下那个上海大学城路九十九号然后那个学生只是可以用那个移动的宽带吗 对 
三十二弄有没有这个宽带 啊 
哎你好我想问一下就是你帮我看一下我这里有没有覆盖到你们移动宽带 呃上海宝山区路祥路 
喂你好我那个想问一下就是我这边的宽带还能不能装 呃在那个松江区上海市金山区然后九亭镇嗯嗯然后沪南公路幺四八零六 
嗯嗯我想问一下那个虹口区场中路通话录有没有一百兆的宽带关机 场中路三十二块五 
嗯哪个区的请问 原西路九十九号联系路哪个连 
唉你好是这样我想办理 啊对是 
喂你好我那个我我这边是那个企业营业厅嘛然后我想办那个宽带你能不能帮我查一下看看我们这边有没有 嗯那个滑雪路六百八十 
唉你好我问一下就是你现在能帮我查一下我住的地方能不能按移动的宽带呗 呃 
噢 你能帮我七月份你们宽带怎么回事吧 
