喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
专线请讲你好我想问一下我上个月那个不是八十八元的套餐吗为什么用了一百二十多 谢谢您好好的在哪里是免费 他的幺零零八六一下 别的呗在家里面我上个月流量超了二十几块呃 
没下午好你好是这样子的我这个 订然后幺八套餐里面好像是有含这种呃一百兆的宽带是吗 呃对我想申请安装可以吗 
诶是这样子也没有说查一下我现在是不是幺八八的这个套餐 是吗 那它原来还有是算送送一个宽带 嗯宽带能不能帮我看一下什么时候能能不能帮我来装 
诶我想问一下我这个手机有捆绑一个宽带对不对 那我现在不想捆绑的怎么办呢 诶 也不太清楚但是他打电话过来然后我那个时候在办公室上班的时候我也没听清楚什么东西他那时候刚我们用的广电吗国内然后到了吗管理信号不是很好吗啊我的朋友多就这个是那个移动的嘛但是我同意了吗同意然后我就挂掉了然后现在都有了这边那我的也是那个你那个业务员跟我联系后的游戏也办理了吗三分不能不用你爱说那种最低的无法忘了 
呃我想问一下你帮我查一下我这个什么套餐啊 然后我这个是有要一几年吗 刚刚的吗 那能不能取消啊 
我想问我我想问一下那个我这张卡有没有开通那个流量 噢那为什么还不能用诶 噢我就说了我这个小孩子手表里面用的那你能不能给我看一下 服务密码好像买的卡买买卡都没有办完了 
我问一下我这张卡有没有开通流量啊 不是一天一块钱 一天一块钱五百兆省内流量套餐内有包含的是 噢那为什么不能用诶 
嗯嗯嗯嗯 您好请问一下我现在这部手机的话是 噢八块钱一个月是吗 跟跟第二个级别的是几月呢 
呃您好能不能帮我查一下那个这个月用了一个套餐之外的两块钱我想问一下是用的什么地方 呃 打了一块七毛多 打电话不是那个套餐的套餐之内的分钟数还有吗 
嗯嗯 哎麻烦你帮我查一下我这个套餐有个有办有办理过什么业务吗 可不可以取消掉那 嗯好不能取消 
哎你好你帮我查一下我这个手机都有什么那个功能是要钱我有没有开通什么包月 经理也取消了来电提醒也加了 你刚才把来电提醒取消了来电提醒不用了来电提醒不要帮我取消掉就是那个什么什么费那个那个什么的三块的帮我取消掉哎 呃不是来电提醒不要取消吗其他还有什么要那就家庭网要取消吗家庭网也不要取消 
嗯您好很高兴为您服务您好诶你好我想问一下就是说我本机有一个什么数据套餐是六十元的这个是什么东西啊 嗯嗯呃那我想问一下他就是说帮你看一下噢订了噢就是就是这个最近也呃移动数据套餐有十元的啊 就是就是那个移动数据的那个套餐就是这个流量是吧对对对嗯现在不是说有一个什么几十块钱包月然后无限使用流量的 哦行 
呃你帮我查一下那个五百兆的那个快餐包到了没有 噢噢噢然后我自己另外充了那个两百的那个月底失效的那个也到了是吧 噢不是我有充嗯哼 那现在总共加起来流量多少的 
诶你好你帮我查一下我这个手机目前都有什么套餐二 六八多少钱 噢就是今年四十一嘛不是 噢明年四十一号 
噢我想看看这个手机有什么业务 噢 其他没了嘛 反正不是有个咪咕什么音乐啊 
帮我查一下我现在有什么套餐有线的呃主套餐是什么 嗯嗯 这个套餐是流量五十兆然后 哦取消掉然后 
我想问一下我的那个已开业务有什么好像有一个一g的那个流量是不是收费的 那活动已经到期了没有 那我现在能不能取消 噢二月份是不是 
我想问一下那个我手机套餐是五八的那好像有一个什么办了一个另外的套餐是是多加十块钱的是什么什么意思 啊 是好像算下个月了 东西啊现在打电话过来说什么就是我是五八套餐然后多增加十块钱然后什么反应返还什么那个电话费 
诶你好我问一下我我这个号码有没有办理什么业务 那五块钱的卡里面怎么会我没有开通啊怎么会有的 那我这个流量套餐能不能改掉了能不能取消 噢没办法取消了 
你好哎我上网流量六十块钱包包月的还有没有啊 对那怎么我这边显示没有 我来了短信怎么都没有了 噢那那现在那个扣套完了过后直接在这边扣了是不是今天见好谢谢啊 
嗯你帮我看一下这个号码有嗯开通什么套餐吗 手机阅读删掉来 嗯嗯 转移什么 
你好好的 我想问一下我现在这个套餐是多少的 能不能改低一点 它一点是吧没改能改到多少呢 
噢你好我想咨询一下我这我现在有什么套餐呢我的手机啊 还有其他没有那为什么我的流量这么快就没有掉啦 对啊我不是有一g吗 啊那为什么它这个信息发来说用完了 
诶你好请帮我看下我手机有没有开通一些增值业务 好 恩好可以 恩好那您帮我把套餐更改为就这十八套餐 
诶请帮我查一下我这个用的什么套餐的 噢要不然下个月帮我转一百八十八的 好好好 的二十 
哎我想问一下我的那个这个本机上有订了什么业务啊 您多少钱 我给退掉吗 那你你帮我取消掉吧还有幺二幺幺二五八零吗 
你帮我查一下我的手机呃这个卡开通一些什么东东 收据游戏什么东西 噢那你帮我取消掉 哎您根彩铃是吧 
哎你好帮我查询下本机有什么扣费项目 好 然后那个有吗 那个六块钱套餐能不能减掉吗六块钱能不能关掉六块钱是上网流量 
呃喂您好我想问一下我这个嗯什么套餐 那为什么我上个月手机费是就是这个月一号交了 哎 呃 
诶你帮我查一下我那个另外一部连接这个手机的那个套餐是怎么 密码都忘记了 要用本机呀 好 
有那个我问一下我这个手机不是改成下个月三十八的套餐的 三十八那个那个哎能不能给我换个 换个流量多的 请好好谢谢 
十兆七月份是六十九 六十一啊 四十九啊先生 噢我知道了 
哎你好我想问一下我上面的流量我不是开了三十块钱五百兆吗 什么时候开始没有开啦 但是还有一个三十块钱呐 去交了我没取消所以不收费 
呃那个上次我有申请那个手那个更换套餐那个有没有帮我有没有申请下来呀帮我看一下 没有我上次申请一下我想我想改为那个八块钱的套餐 好像他是说是要明年八月份才到期啊 对对对 
呃您好就是麻烦你看一下我呃帮我看一下我这里面有没有一些要收费短信那个增值业务 二 现在还没有是吧就是我因为我昨天我我昨天呃有接到一个那个就本龙岩的一个幺零零八六的那个人工台打过来电话说那个呃有一个五十块钱的流量说可以使用多久多久的然后但是我没有听完我就把它就这边就给挂掉了 给我办理不会不会不会了 
哎你好我想了解一下我的每个月的套餐 帮十二月活动是吗 诶那我我怎么查了我那个怎么固定的那个套餐就是一百一十六啊就是 噢这样子那我像以后固定的是一百一十六了 
嗯哼 喂你好我想问一下了我也现在这个套餐是什么套餐 然后加来电显示 那怎么扣扣什么东西扣了八十几块钱帮我查一下噢 
用过只有一条 呃请问我现在什么套餐 五十八新飞享吗 新飞享五八套餐我现在这个那我现前面不是有送那个呃流量多用多吗那个活动还有没有送啊送流量啊下个月 
喂你好呃我想问一下我目前那个手机的套餐是什么样的一个情况 每个月多少g流量 噢原来好像每个月就是上一个月能不能看到上个月上个月是什么情况呢挂机的 随便不是因为因为之前我收到短信他说什么什么多少什么流量那个什么套餐什么意思效吗我我也没去看我还以为说因为我那个办理原来四十八套餐也刚好一年的吗然后现在是还有延续对吧 
诶你好所以我这个呃卡开通了哪些业务啊 那为什么这个话费去了这么快啊 哎对对对 嗯然后昨天我开的然后开了零零的流量这里面为什么还会扣话费呢 
你好我想问一下我这手机是用用什么套餐呢嗯嗯 噢这个月还没开始用啊到下个月开始 噢噢好我知道谢谢啊 不用了不用 
哎你好我想问一下你帮我查一下我上下个月是什么套餐 嗯就那五十八五十八 你那个能不能帮我取消一下因为你们现在不是有出了那个优惠老顾客的那个套餐嘛 也是那个八十八的然后有送流量啊什么的 
你好我麻烦你帮我查一下我这个有哪个收费的业务好不好 啊 噢我这个是什么套餐 我这个是什么卡 
哎喂哎谢谢你唉呀二 帮我查一下我的我这个手机套餐什么套餐 三十八分钟三十八多少钱七八百分钟 一点五g省内的其他我这边不是有个宽带绑定的宽带嘛是不是 
呃我那个三十块钱流量包那个取消掉取消了没有这个月 噢取消掉啦 噢可以可以没事 
您好诶你好我问一下这个这个号码的话它有开通什么业务 然后套餐它是怎么个意思里面内容都是什么样的 嗯资费嗯嗯嗯嗯噢那接听就那个流量来电显示什么都包括语音 嗯那还问一下一个人老人家用的机子的我想给他看一下还有没问他这个话费话费还是那么少 
喂你好 噢我想问一下我现在有哪一些业务手机上 就买一个七十块钱是之前办的对吧 是那个噢那个没办法销的对吧 
嗯嗯 帮我查一下我那个那个买个六十块流量成功了吗 可以使用了是吗恩对有个 还有没其他扣费的吗 
喂那你帮我帮我查一下他他给我那个手机电话套餐是多少 有通话通话多少分钟的 噢我现在就说目前是剩多少呢 噢这样子是吧有没有更多的那种套餐帮我办一个有没有就是说当当时专门打电话用的 
哎你好你帮我查一下我你这个本机开机啊什么套餐 那还有什么 十八块套餐 噢那我以为十八块套餐的来电显示全部都包括在流量 
诶我问一下我这个换本地的号码套餐什么套餐 三十八套餐呀没有 哎那我这个能不能转成十八块套餐嘞这一点 这是上周不到营业厅吗没有五十多你你跟他里面有两百分钟通话一g多的流量肯定超过这分钟数了你可能没有打电话也没打电话给我 
你帮我呃这个手机卡有没有开通那个移动流量包啊 噢它这个套餐这个卡是什么套餐呢 十八块钱里面赠送一百兆的 噢号好谢谢啊 
诶您好小姐能不能帮我查一下我妈妈手机号码这个幺三五九九零三二幺八零这个是什么套餐啊 对对对对 那五八八说没有密码啊 他的手机我没办法打他那个什么那个老人机啊我按零按零老是操作不了啊 
喂你好帮我查一下我这个下个月开始是五十八的套餐是啊 是不是只有我一百五十分钟啊 这个不够啊我现在要保底九十块我问一下如果我现在改为八十八的有没有更高的分钟数 三百五十分钟三百兆流量是吧 
我想问一下 我们套餐是多少 多少 噢对那我这个到账三天七十九元嘛就这张卡 
喂你好你帮我查一下我这个嗯八十八块钱的套餐到什么时候到期好 二零一八年 噢就是十二月份是吗 噢那到时候的话我可以 
诶你好我想问一下我刚才订的那个就是网上包两块钱一g的四个小时现在有没有生效啊 噢就问一下哈 那为什么我的那个流量秘书那边没有看到这个呃流量啊 噢那可以可以 
嗯你好我想问一下你我这个你帮我有什么开通有什么业务的有没有这边哎要收费的啊 诶那那我每天怎么都都要去了呃那个一块多那个扣费扣扣什么费那个 其他没有收费啊 噢那那我这个那个送来那个流量要我要停了要不要收费的 
诶您好嗯能不能帮我查一下我这个套餐我这个月没有来电提醒啊一个定向业务啊 可是我的手机短信有收到是怎么回事啊 那能不能把这个取消掉 嗯 
呃那个我请问下我手机是不是有那个网络限速啊 啊喂 过去 呃你帮我解答 
喂你好 啊我这个手机的有什么套餐什么的有没有这个本机的 噢那是全部帮我取消了就就就留一个来电来电那个来电提示那个套餐是可以 噢家庭网取消了 
四g功能 喂你好 我想问一下这个卡嘛不是这个是流量卡吗怎么呃用了四十多mb的还剩五十六m比啥意思 本地上网啊 
诶你好请问啊帮我查一下我这个套餐还有开了什么功能啊我 好像前一段时间交了一百多块钱现在怎么不足余额不足十五元的你帮我查一下看看 可以还有什么呢 啊你基本上你帮我这个套餐流来其余的全部帮我关掉呃好的您等下帮您就把这个套餐喂你好你帮我看一下噢 
不是 啊喂你好呃我想知道就是我这个手机出就是有我办理了几个套餐 嗯麻烦你帮我把就是那个除了流量套餐以外吧其他套餐都都取消掉 是的 
你好请说 已经取消了下月一号就没有了 啊对 
我想查一下我这张卡有没有开什么其他的东西 刚才发一条信息给我说有开什么彩铃什么 都没有 
那个帮我查一下我这张这张卡办理有没有办理什么其他套餐这个资费是到底是多少 什么或者这个 呃一百兆就有一个的话一百分钟了然后呢查得到啊 然后刚才我接到一个一个移动的电话他说我办理了那个办理的那个什么三十块钱那个那个那个什么套餐了我都没有啊 
诶你好我刚刚帮我查一下我们刚充了一个四g流量套餐这个你帮我查一下 短信说让我 京东啊 四g流量可以用多久啊 
喂你好 我想想问一下我这个手机上套餐到底是哪个套餐昨天有发了九十九套餐幺八八十八套餐我都自己 呃是本来原来是说给我办九十九的是吗 已经改过来是八十八的套餐是吧 
