啊啊那呃移动公司是有一个活动是文旁充话费流量的 然后是营业厅那边的 噢我昨天充的是呃不在我是那天赠送五百兆流量还没送过来你帮我这样办理一下吧 
高兴服务 呃我刚买了一个流量包然后是原价六块然后注销促销就四个小时五百兆然后三块钱吗它只扣的是我它只扣是扣六块扣了好多次啊 嗯嗯 
你好请帮我查询一下我这个号码用了这么多年了里面为什么还不能参加是你手机客服 那个送电子券那个活动吗 噢我这个是有送分钟数跟流量是吧 
喂你好 我想问一下你我九月份那个什么大风城城关那个有赠送流量但是扣了我说十多块钱它讲会返还怎么都没有没有 这个问题 
诶你好你好你好你好我我这个这部手机那个呃三十八套餐干嘛每个月都用它呃我们有车立即失了 宽带宽带那个不是免费的呃第一年免费的嘛 去年八月份 
你好我想办理q六g六十元那个流量怎么不行呢 噢那可是那边给我提示说用完了 客气噢好 
呃我想问一下我这个套餐套餐买了噢呃不是每个月套餐内五百兆流量还要再送五百流量吗他怎么上个月没有送 噢呃对 这个套餐是这个月才生效啊 
诶你好诶请问一下你这个移动公司是不是是不是老那个逃税掉了一样的我那个宽带的话是两年送一年我才用了一年你现在那一个一个一个什么人电话打来跟我讲那个说我宽带已经到期了 啊 呃本机的 
签到诶您好问一下我这部手机它发了一个短信说呃一个月什么p面什么九元你帮我看下这是怎么回事 那我都没有开下开通这项项目为什么要给我无缘无故再给我开一个这样的项目啊 那是不是有扣九元呐 
喂你好诶我想问你一下吧就是说我这个想办那个就是呃呃保底消费零电子券的那我这边为什么办不了啊 谢谢啊哎那边他要 就是说之前有送过了是吗 
八元让我怎么过来这么贵一些我们是吧 您哎帮您喂 我都已经刚刚打电话好像过来会给我们是吧 
喂你好 我跟你说啊因为这个其实是我我妈在用是老人在用的啊你们刚刚那个移动的一个客户怎么打电话过来本来我吗这个就是每个月保底消费十八块已经用不完然后它又怎么打电话叫他改三十八块的是什么业务更改 还没审呢他说下个月生效啊 
对呀 啊喂你好那个我有个问题想问一下嗯那个那我本来是去年办了那个三十八元套餐嘛然后它是有赠送宽带那我记得好像是送两年内可是我现在才今年时间为什么一个一个月就收费要六十九块钱 噢这样子嗯那那那也就是说我这两年两年之间那个套餐都不能电视吗 
噢呢好我这个套餐之前不是有送那个一g的流量吗为什么现在没有 到期了怎么 噢那就是说要换一个套餐还是收到嗯嗯 
噢我那个六十块钱六g的那个流量现在买不了啊 这个月有买过 说只能买一次 
你好我是我想问下上次不是在那个那福建营业厅让收到一g流量他说十五号之前会送的怎么还没送 没有啊他都没有没有流量套餐啊 噢移机的话 
你们能不能帮我处理一下你那边经常给我打骚扰电话问什么套餐推销什么东西能不能不要再再给我打了 都是你们移动的很多个号码好像一个月一个月接收很多 对对对没错没错很多很很抱歉人 
诶你好我用那个专款那个呃余额专款一个专款怎么每个月会少少掉一点少掉一点这什么意思那是因为之前不是有参加一个宽带活动吗 放在您的专款余额里面我知道每个月二十一二十一拨过来吗 哦这个我明白我是说为什么你不是说要诶到期了当然抵扣吗那我怎么现在又有百分之 
诶您好我想问一下我里面诶这个手机号码里面还有两百多块为什么就没有送出来呢 这样好像是办了什么套餐送的 啊我啊 
你好那个我这个买手机送话费有两个月没返还之前买手机你们也没有说那个那个手机这个手机一定要使用把呃送话费的那张卡片 嗯之前买的时候你们营业厅么讲啊然后导致我两个月没有返还下怎么处理呢你们没有讲清楚完 回复我没我我那天没接到电话 
你好哎你好你好诶诶我想问一下有一个什么下午茶套餐的那个四个小时不是一块钱了怎么今天这两天都给我发说是六块钱呐 噢噢这样子那我让他每次订购都是一块然后后面有发信息说什么六元套餐 噢噢那明白好谢谢啊 
您好请讲喂 就是我前天上嗯这样子我要叫什么g套餐的活动算到一g流量为什么幺 他说十五日它说是不是说送过来可是现在的嗯问一下块一个月的时间上因为诶那为什么哎用超九一天了嘛干嘛还有为您服务喂海鸥几分钟啊好好其他扣掉了也不会让我那个不要其他疑问吗好嗯嗯嗯 
