诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
那个 流量 不够 吗 不是 问 他 那个 补 流量 的 问题 他 说 十块钱 的话 一 百兆 三十块 钱补 一个 g 那补 的话 就 说 我 还要 去 你们 那个 营业所 还是 说 就是 网络 上面 过 今天 我 帮 您 办理 啊   噢 你 电话 里面 就 可以 直接 办理 了   噢 那 我 如果说 这个 一个 g 没有用完 的话 可不可以 留 到 下个月 啊
哎 你好 我 想 问 一下 诶 新 买 的 卡 现在 需要 怎么 激活   可以 改 发短信   这个 不是 现在 这个 手机 里面 都 是 无 服务 啊 怎么 发出 去
哎 你好 请问 一下 我 这个 号码 要 你好 就是 省内 无限 流量 这个 要 什么 什么 怎么 搞   一百八十 八 的 流量 套餐 噢   那 就是 无 信息 的 吗
嗯 你好 我 问 一下 我 这边 通话记录 如果 要查 的话 是 要 拿到 要 本人 的 手机 还有 呃 身份证 是 啊   如果 我 这个 卡 打个比方 我 现在 是 九月份 之前 的 通话记录 十月份 卡 没 掉 了 重新 补 一张 可以 查 到 三明 的 号码 吗   呃 但是 短信 查 的 出来 吗
您好 请 说 啊 我 想 问 一下 我 这个 手 手机号 的 服务 密码 怎么 改 啊   不 记得 啊 就是 不 知道 吗 噢 噢   啊 什么 是
你好 我 那个 彩印   哦 我 看 一下 啊   就是 我 还有 好多个 号码 都 要 改
哎 喂 你好 我 我 问 一下 就是说 现在 人 不 在 厦门 的 然后 这个 卡 不想 用 了 注销 的话 要 本人 拿 着 身份证 去 厦门 去 注销 吗   那 现在 人 已经 不 在 厦门 是 吧   呃 可以 这样 也 是 可以 了 是 吧
你好 请 把 那个 变更 成 八块钱 的 那个 套餐 的 呃 呃 那个 更改 方式 发给 我 一下 好 吗   拼音字母 什么 是   s
啊 你好 诶 那个 我 如果说 要 把 那个 手机 流量 再 送给 人家 的话 那个 要 怎么弄 啊   共享 怎么 怎么 怎么 开法 嘞 有没有 服务 密码 呢 有 服务 密码 有 啊   那 如果 加入 家庭网 怎么 电话 你 告诉 我 有 家庭网 您 要 先 加进去
我 想 问 一下 如果 我 想 改 那种 新版 的 五十八 套餐 我要 发送 什么 代码   不用 了 再见   你 可以 帮 我查 另外 另外 一个 号码 是 什么 套餐 吗
你好 哎 我 问 一下 我们 是 在 那个 呃 呃 电话 通话记录 那个   要 短信 验证码 是 吧   噢 噢 那 一定 要 本机 的 短信 验证码 噢
诶 我 咨询 一下 我要 出门 g 港澳台 零儿 我要 开 开通 那种 什么 四 g 流量 费 封顶 费高 的 那个 要 怎么 开通 啊   七天 七天 是 多少   噢 七天 流量 不 限量 啊
嗯 哼 谢谢   呃 您好 我 想 嗯 就是 我 另外 一个 卡想 下个月 开 起来 怎么 开   对 对 对
呃 呃 就是说 嗯 你 那边 说 呃 手机 的 信号 是 满格 但是 有 很多 人 电话 答复 不定 还是 怎么回事   应该 是 我 个人 的 吧   没有 问题 吗
你好 你 帮 我 看 一下 那个 宽带 这个 对   宽带 正常   啊
喂 你好 诶 我 想 问 一下 就是说 我 那 那 另 一个 号码 那个 手机号 是 莆田 的 然后 就是说 我 有 几个 月 没用 了 就是说 我 在 手机 上面 那个 设置 什么 s 卡 密码 设置 一下 到 我 多 后来 都 不行 了 就 停机 了 就 没有 网络 了 然后 就是说 我 现在 想 过去 到 莆田 那边 去 办理 嘛 然后 要 要 有 啊 有 有 三四个 月 没用 了 那 现在 我 到 那边 去 办理 要 怎么样 办理 呢   那有 三四个 月 啊 但是 我 每个 月 都 有 交费   幺 八二 五零 五 三 八九 四九
诶 你好 呃 我 有 一张 号码 卡 丢 了 嘛 然后 我 那个 身份证 不是 绑定 了 这张 号码 卡 吗 那 我 想 把 它 分开 来 怎么 怎么 注销   噢 那 我 这 张卡 是 厦门 的 那 我 在 龙岩 这边 可以 吗   只能 在 厦门 营业厅 啊
诶 喂 您好   诶 我 想 问 一下 比如说 我人 没 在 南平 然后 我想 补卡 的话 它 是 要 怎么弄 的   我 知道 啊 如果 别人 在 我 咕 的话 能 不能 拨打
先生 喂   诶 请问 我 的 宽带 是 打 哪个 电话 他会 说来 给 我 装装 机顶盒 的   啊
一个 什么 移动信息 服务 怎么 开   对 啊 我 这个 发 信息 过去 然后 提示 我 就 说 我 这个 移动信息 服务 未 开通 吗   对 帮 我 开启 的
诶 你好 我 想 问 一下 噢 比如说 我 这部 电话 那个 没 电 自动关机 了 然后 要 把 它 转 那个 呼叫转移 到 那个 另外 一部 手机 的话 要 怎么 办理   噢 就 两个 呃 就是说 那个 打 不通 的 情况 下 唉呀   就是 没 信号 的 时候
嗯 喂   或者 信息 啊 但是 但是 说 这 话费 啊 现在 电视 说 不要 嗯 拜拜 嗯   我 说 现在 想交 话费 怎么 交 呢
嗯 您好 就是 呃 我 有 两张 卡 一张 是 福建 一张 是 浙江 的 吗 然后 我 就是 充 流量 的 时候 是 想 充到 浙江 的 卡 然后 不 小心 充到 噢 福建 那 张卡 上去 就是 你 有 办法 把 那个 流量 转移 到 我 浙江 这张 卡上 吗   噢 那 好 那 谢谢 你 啊   哦 没有
您好 你好 我 想 请问 一下 我   送 的 那个 机顶盒 然后 我 那个 业务 密码 忘记 了 要 怎么办   嗯 嗯
喂 你好 幺   喂 你好 请 讲 我 想 问 一下 因为 我 这 里面 要 出国 然后 就是 国际 的 漫游 是 怎么 改 的   呃 一个月
嗯 已经 喂 你好 我 想 问 一下 我 这个 我 想 给 我 朋友 办 一个 那个 呼叫转移 然后 就 把 它 的 这个 来电 然后 转接 到 我 我 这个 手机 上 怎么办   嗯 那 那 我 现在 直接 跟 你 讲 你 帮 我 办 吗   幺 三九
那个 刚刚 我 手机 停机 了 然后 我 叫 我 一个 那个 朋友 用 支付宝 帮 我 充 了 一个 话费 然后 结果 那个 我 因为 我 的 为 最后 就 尾数 是 三个 月 同一 台 不 小心 按错 了 然后 完 了 以后 联系 机主 的话 那个 那个 号码 显示 空 号 这个 要 怎么 处理   噢 联系 支付宝 客服 是 啊 好行 好 谢谢 谢谢 噢
喂 你好   我 是 这个 呃 有 有 那个 办理 那个 一 千兆 流量 或者 是 两 千兆 流量 这要 怎么 办理   六十 多少 啊
我 想 问 一下 那个 申请 国际漫游 的话 要 要 怎么办 呐 嗯   这 样子 啊   嗯 嗯 那 那 那 就 在 在外 拨打 就 拨打 时间 收费 会 不会 很 贵
