为您您好很高兴为您服务喂 诶你好你帮我查一下我本机号码 
嗯您好请说 有什么可以帮到您 
您好请说 噢行喂你好呃请问本机号码帮我确认一下噢七五零五九六七二六幺零对吗 
高兴服务 呃帮我查一下手机服务密码多少 
你好请说 移动过来喂 
好 您好有什帮助您 
你好 诶请问一下那手机那个一一什么有没有什么这样子然后换成多少您说运营商服务密码吗啊那就这张卡的业务密码我看一下您这张卡的业务密码 
您好请讲 喂你好麻烦你帮我查一下我的三个通话记录我刚才不小心被我按删除掉了能查得到吗 
你好请说 你好我想查询那个手机的那个什么密码 
行高兴为您服务 喂你好 
您好请讲 你好你好噢我是那个嗯讲面那个宽带是前两个月装了然后我忘记了那个账号跟密码怎么办嗯好没关系是本机号码办理的吗呃对 
您好请说 哎喂你好那那个我这里你帮我查下是不是呃我用的这个家庭短号五五四的号码是不是幺三九六零六四三三八 
您好请讲 你好帮我查一下这个本机的号码 
您好请讲 诶你好我哎嗯请问我这手机的那个密码是多少 
嗯嗯啊很高兴服务您好 帮我看一下我宽带的帐号是不是我手机号码 
你好 你好对我想我想问一下那个呃电话服务密码这种什么意思啊 
很高兴为您服务 喂你好 
您好 你好帮我查一下我的服务密码好吗 
您好高兴为您服务 包括喂你好这个骚扰电话是可以查一下是哪里的吗 
请您好请讲很高兴为您服务您好很高兴为您服务诶 哎你好我这个卡的时候我那个什么服务密码吗 
您好你说 说了帮我查询一下我手机服务密码是多少 
嗯你好很高兴为您服务喂你好 哎你你帮我看一下我另外一个号码 
您好请讲 能不能帮我看一下我这个号码的开户时间是什么时候 
您好请说 呃帮我看一下本机号码是多少 
没 您好诶 
您好什么帮助您 嗯请问一下就是我我我问一下那个噢我这张卡是用身份证买的吗就说我也我不太想用的时候如果说我不知道一那个营业厅去那包那个钱的话会怎么样 
您好请讲 啊你好我想要问一下我这个的密码是多少的 
您好请讲 诶你帮我看下我的上面还有实名的有几张卡一张那个 
早上好好的 那个 
不客气您好请说现在我我那个这个这张卡的手机号码尾数是多少本机吗七九幺零然后它现在有还有流量吗噢我看一下嗯嗯 七二七七支付宝这边 
您好请讲 诶你好诶我这个就是就是这个移动的固定固定电话那个密码服务密码是多少 
嗯 您好请讲 
您好请说 你好麻烦你我这个是按那个尾数二幺六三的卡吧 
你好 嗯您好很高兴为您好哎我我想问一下我这个手机号的密码多啊 
您好什么帮到您 喂就请问一下我这是保这个号码的服务密码是什么啊 
您好什么需要帮助 喂 
您好请说 诶您好您麻烦您帮我查一下西湖国际学校的电话 
嗯我您好请讲 啊喂你好诶我想问一下这个第一个我这个是不是全球通然后我再外地一些第一笔接打这个本地接听这个都是免费的然后打印漫漫游费的问题 
您好请讲 诶你好你帮我查一下我本机的那个服务密码是多少 
嗯嗯您好什么可以帮您 那个能不能查一下我这个是这个月卡的手机号我和充话费我的手机号呀 
您好请讲您好 诶你好麻烦你帮我看下我这个 
你好请讲喂你好你说一下 本机的密码忘记了怎么办 
你好请说 的等下好 
好好您好请讲你好 哎你好我问一下我这卡的户名是不是城一家啊 
幺嗯 您好请讲 
好好 诶你好嗯 
您好请讲 诶你帮我查一下一个我有个手机是不是这个号码幺五八幺五六零六零八六 
您好请讲 呃您好我这个就是这个块这个这本手机的这个宽带啊那个那个密码是多少我都忘记掉那个怎么办 
嗯嗯您好请讲 喂你好我问一下噢那个能不能查到我本机的入网时间 
您好请讲 喂你好我想问一下我这个手机号码要找服务密码的话要怎么找 
高兴服务 呃帮我查一下手机服务密码多少 
喂你好可以我想问一下如果是我的名字是这样子查询能知道我我的名字登记几个号码吗 噢不好意思要带身份证到营业厅才能查 
您好很高兴为您服务 你好我那个密码忘记了怎么弄 
您好高兴您服务你好 喂哎你好嗯在为什么请说噢嗯就是问一下我的这个手机的服务密码 
您好请讲 啊我想问一下我这个密码是多少 
您好请说 呃我这个名下是不是还有两个号码没有注销掉 
为您服务您好请讲嗯呃您好我这个服务密码忘记掉了服务密码忘记了那可以在这边重新设置一个密码呀 有原来我原本是好像是没有是吧 
您好很高兴您服务您好 诶你好先生你帮我查一下本机号然后为什么话费那么贵呀 
您好什么帮您 诶您好请问你知道本手机的那个密码吗我给忘记了 
您好请讲 你好我想问一下我这个手机号码的服务密码是多少 
您好很高兴服务 诶您好呃请说嗯嗯就是好像说如果有人打我这个手机号码那个号码是我没声了但是我想知道那个号码的主人我应该如何办 
你好请说 你好我想请问我想查询下我现在这个号码绑定的宽带在哪里 
早上好 哎你好我想查一下本机的那个就是十月一号的通话记录我这个要怎么查 
你好 喂你好我想问一下我这个手机号码的那个密码 
您好有什么可以帮您 诶您好我想查一下我这手机号码的那个服务密码 
您好很高兴您服务 能不能查再帮我查一下这哎这半年来就是有一个手机号码有没有打电话给我的记录 
嗯您好很高兴为您服务 呃我想呃你好我想问一下我那个宽带密码那个什么服务密码是多少 
你好 嗯嗯哎你好我问一下我服务密码多少再见对我的服务密码我们这边看不到如果 
您好请说诶你好我想问一下我这手机的初始密码是多少或者是现在的那个初始密码是多少我看一下您的密码没有获取过稍等一下嗯女士您这密码之前有获取过而且您都更改过了呃那更改过的话你这边能查到吗 密码我们是查看不到的如果说您又忘记掉了那就给他再重新设置一个 
您好请说 哎我那个服务服务密码多少恩你那边能查得到吗 
你好请说 诶请问一下我那个这电话的那个服务密码是多少 
您好 哎你好 
您好请讲 哎你好麻烦你帮我查一下这个手机号码是几星客户啊 
你好请讲 你好想问一下我那个东山路十七号那个转不了皮具店那个用户名能不能查一下宽带的用户名 
您好请说 我要等下这个手手机话费吗查询手手机服务密码 
您好 你好我这个我想查询一下我这个手机密码是多少 
您好很高兴很高兴服务 你好请问一下呃我这个服务密码你我想请你帮我查一下我现在搞不了我现在在这边用如果服务密码 
您好很高兴为您服务呃您好 喂你好我说我这个手机登录密码忘记掉了能能不能帮我查询但是重置重设密码 
您好请讲 诶我问一下我这个本机的密码忘记了要怎么修改呢 
您好请讲 诶喂你好请帮我查一下我这个手机的服务密码好吧 
嗯您好请说 哎我想问一下那个我那个 
您好很高兴为您服务 这个移动的那个送那个用户名那个密码是多少 
您好很高兴为您服务 哎你好 
你好请讲 你好我这边装的那个电视那个用户零跟密码你帮我看一下是多少 
您好请讲 诶你好我想问一下我这手机靠的密码是多少 
您好请讲 诶您好我想问一下我这手机是全球通还是什么 
您好请讲有什么可以帮您 诶你好诶你给我查一下我这名下有没有别的号码要销户的 
哎您好请说 呃我这边就是宽带账号密码能看一下吗就是 
什么东西您好很高兴为您服务 帮我查一下我的服务密码 
哎您好很高兴您服务 嗯诶帮我查一下我这手机的密码是多少 
您好请说 哎你好我想问一下我那个手机我不是我那个手机的密码是多少那个我刚才已经问过一次然后他说已经发短信过来的怎么到现在都没收到啊 
您好请说 喂你好你好 
您好有什么可以帮助您吧 查一下我那个宽带的密码原始密码是多少 
您好请讲 你好我这个手机是不是全球通您这个不收钱的是神州行了神州行那如果去日本怎么开通全球通的话 
您好请说 你好我想问一下我手机的服务密码是多少 
我不知您好 哎你好请问一下我这个手我这个手机的那个服务密码是多少 
嗯嗯嗯嗯你好 呃我想问一下我的宽带账号是多少 
您好高兴为您服务 喂诶你好 
